id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer,source_tier,sample_weight,noise_reasons
22,东京喰种,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,auto_miner,0.55,
23,东京喰种,青之驱魔师,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1,auto_relabel,0.80,
24,井水不犯,传递流程,歇后语,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
25,亡羊补牢,上课,成语,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
26,京剧,国粹舞台,文化,,hint_like_high,70-90,80,关联度较高,,unknown,0.50,
27,京剧,风之谷,文化,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
28,代数,祖冲之,学科,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
29,伤心,幕布戏偶,感情,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
30,伸展,下西洋,动作,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
31,体面,体面,歌曲,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
32,你的名字,大鱼海棠,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1,auto_relabel,0.80,
33,你的名字,虹猫蓝兔,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank3,suggested_relabel_ab_v1,auto_relabel,0.80,
34,你的名字,青之驱魔师,动漫,动漫,related_mid,60-75,68,failed_top1_confusion,suggested_relabel_ab_v1,auto_relabel,0.80,
35,侧步,左右挪,动作,,hint_like_high,70-90,70,字面意思接近，联想度不高,,unknown,0.50,
36,俯卧,平躺反,动作,,hint_like_high,70-90,90,很接近,,unknown,0.50,
37,俯身,云量厚,动作,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
38,俯身,午休,动作,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
39,借刀杀人,月饼,典故,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
40,借刀杀人,步骤,典故,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
41,值机,安心,旅游,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
42,值机,春分,旅游,,cross_category_low,0-30,6,二者不搭界,,unknown,0.50,
43,值班,狗尾续貂,工作,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
44,做作业,做作业,学习,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
45,做实验,器材,学习,,hint_like_high,70-90,80,关联度较高,,unknown,0.50,
46,做家务,得意,生活,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
47,做家务,清理屋,生活,,hint_like_high,70-90,90,非常接近了,,unknown,0.50,
48,做梦,存档,生活,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
49,做梦,火星,生活,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
50,停下,不再动,动作,,hint_like_high,70-90,80,关联度较高,,unknown,0.50,
51,催办,登顶,工作,,cross_category_low,0-30,10,二者不搭界,,unknown,0.50,
52,儿童节,学校活动,节日,,hint_like_high,70-90,70,学校联想度较高，但儿童节也有其他庆祝方式，关联度中等,,unknown,0.50,
53,元宵,绿垄,节日,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
54,先知,先知,狼人杀,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
55,光年,测天距,宇宙,,hint_like_high,70-90,90,很接近,,unknown,0.50,
56,入职,报到登记,工作,,hint_like_high,70-90,80,关联度较高，报到登记是入职的一个重要环节,,unknown,0.50,
57,入职,语文,工作,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
58,全职猎人,数码宝贝,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1,auto_relabel,0.80,
59,全职猎人,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,auto_miner,0.55,
60,全职猎人,银魂,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,auto_miner,0.55,
61,全职猎人,馄饨,动漫,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
62,公会,语言技巧,游戏,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
63,关羽,盲人摸象,人物,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
64,写作,石桥,学习,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
65,冰川,冰川,风景,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
66,冲茶,挥拳,生活,,cross_category_low,0-30,10,语义不同,,unknown,0.50,
67,冷淡,国家事,情感,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
68,出境,出境,旅游,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
69,凿壁借光,凿壁借光,典故,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
70,凿壁借光,夜读无灯,典故,,hint_like_high,70-90,85,后者为解释,,unknown,0.50,
71,刀剑神域,对齐,动漫,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
72,刺客伍六七,樱桃小丸子,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,auto_miner,0.55,
73,刺客伍六七,烤鸭,动漫,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
74,刺客伍六七,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,auto_miner,0.55,
75,刺客伍六七,龙猫,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,auto_miner,0.55,
76,刻舟求剑,刻舟求剑,歇后语,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
77,副本,开荒,游戏,,same_category_mid,60-70,70,关联度较高,,unknown,0.50,
78,副本,汉堡,游戏,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
79,加班,加班,工作,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
80,匆匆那年,稻香,歌曲,,same_category_mid,60-70,60,关联度中等,,unknown,0.50,
81,化学,化学,学科,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
82,化学,狼人,学科,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
83,匹配,运动,游戏,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
84,医学,诊断治疗,学科,,hint_like_high,70-90,70,包含关系,,unknown,0.50,
85,千与千寻,喜羊羊,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,auto_miner,0.55,
86,千与千寻,白蛇缘起,动漫,动漫,related_mid,60-75,68,failed_top1_confusion,suggested_relabel_ab_v1,auto_relabel,0.80,
87,千与千寻,龙猫,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,auto_miner,0.55,
88,升级,组队,游戏,,same_category_mid,60-70,60,关联度中等,,unknown,0.50,
89,卧冰求鲤,寒冷之举,典故,,hint_like_high,70-90,70,字面意思接近,,unknown,0.50,
90,卫星,果汁,宇宙,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
91,厌烦,猪八戒照镜,情感,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
92,司马光,亲切感,人物,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
93,合成,产出装备,游戏,,hint_like_high,70-90,80,合成包含产出装备但后者只是前者的一个方面,,unknown,0.50,
94,同舟共济,锦上添花,成语,,same_category_mid,60-70,60,种类相同，但意义不同,,unknown,0.50,
95,名不副实,华而无用,成语,,hint_like_high,70-90,70,字面意思接近,,unknown,0.50,
96,名侦探柯南,刺客伍六七,动漫,动漫,related_mid,60-75,68,failed_top1_confusion,suggested_relabel_ab_v1,auto_relabel,0.80,
97,名侦探柯南,旋转,动漫,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
98,名侦探柯南,画江湖,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,auto_miner,0.55,
99,名侦探柯南,黑执事,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1,auto_relabel,0.80,
100,后来,告白气球,歌曲,,same_category_mid,60-70,60,关联度中等,,unknown,0.50,
101,后来我们,划点,歌曲,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
102,后退,保持距离,动作,,hint_like_high,70-90,70,后者联想度一般，也可联想成为前进,,unknown,0.50,
103,向导,撞山,旅游,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
104,听课,守岁,学习,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
105,听课,高处直冲,学习,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
106,命运之夜,山脊,动漫,,cross_category_low,0-30,2,二者不搭界,,unknown,0.50,
107,命运之夜,引人来改,动漫,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
108,命运之夜,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,auto_miner,0.55,
109,命运之夜,进击的巨人,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1,auto_relabel,0.80,
110,命运之夜,龙珠,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,auto_miner,0.55,
111,咒术回战,咒术回战,动漫,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
112,咒术回战,虹猫蓝兔,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank3,suggested_relabel_ab_v1,auto_relabel,0.80,
113,咒术回战,言叶之庭,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,auto_miner,0.55,
114,咒术回战,龙珠,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,auto_miner,0.55,
115,咖喱,确认归岗,美食,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
116,哆啦A梦,喜羊羊,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,auto_miner,0.55,
117,哆啦A梦,罗小黑战记,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1,auto_relabel,0.80,
118,哆啦A梦,龙猫,动漫,动漫,related_mid,60-75,68,failed_top1_confusion,suggested_relabel_ab_v1,auto_relabel,0.80,
119,哪吒,哪吒,神话,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
120,哪吒,麒麟,神话,,same_category_mid,60-70,70,种类相同,,unknown,0.50,
121,哲学,稳定性,学科,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
122,唇亡齿寒,命运相连,成语,,hint_like_high,70-90,90,关联度较高,,unknown,0.50,
123,喜悦,樱花,情感,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
124,喜悦,煎饼,情感,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
125,喜羊羊,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,auto_miner,0.55,
126,喜羊羊,龙猫,动漫,动漫,related_mid,60-75,68,failed_top1_confusion,suggested_relabel_ab_v1,auto_relabel,0.80,
127,四面楚歌,无路可退,典故,,hint_like_high,70-90,80,环境相同,,unknown,0.50,
128,四面楚歌,暮色流动,典故,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
129,图穷匕见,连击,典故,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
130,圣斗士,白蛇缘起,动漫,动漫,related_mid,60-75,68,failed_top1_confusion,suggested_relabel_ab_v1,auto_relabel,0.80,
131,圣斗士,虹猫蓝兔,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank3,suggested_relabel_ab_v1,auto_relabel,0.80,
132,圣斗士,龙珠,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1,auto_relabel,0.80,
133,圣诞,虚惊一场,节日,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
134,地球,体面,宇宙,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
135,塔防,指鹿为马,游戏,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
136,处暑,处暑,节日,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
137,复习,翻旧笔记,学习,,hint_like_high,70-90,80,复习包含翻旧笔记,,unknown,0.50,
138,复盘,同舟共济,工作,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
139,复述,翻滚,学习,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
140,夏目友人帐,火箭,动漫,,cross_category_low,0-30,5,二者不搭界,,unknown,0.50,
141,夏至,欣慰,节日,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
142,外星人,未知生命,宇宙,,hint_like_high,70-90,70,联想能力中等,,unknown,0.50,
143,夜曲,晴天,歌曲,,same_category_mid,60-70,60,关联度中等,,unknown,0.50,
144,大暑,找阴凉,节日,,hint_like_high,70-90,70,字面意思接近,,unknown,0.50,
145,大暑,琴棋,节日,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
146,大暑,辅黄帝,节日,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
147,大鱼海棠,天空之城,动漫,,same_category_mid,60-70,70,都为动漫,,unknown,0.50,
148,大鱼海棠,白蛇缘起,动漫,动漫,related_mid,60-75,68,failed_top1_confusion,suggested_relabel_ab_v1,auto_relabel,0.80,
149,大鱼海棠,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,auto_miner,0.55,
150,大鱼海棠,虹猫蓝兔,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank3,suggested_relabel_ab_v1,auto_relabel,0.80,
151,天体,上线,学科,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
152,天体,小暑,学科,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
153,天体,樱花,学科,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
154,天气之子,你的名字,动漫,动漫,related_mid,60-75,68,failed_top1_confusion,suggested_relabel_ab_v1,auto_relabel,0.80,
155,天气之子,弯膝下沉,动漫,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
156,天气之子,海贼王,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,auto_miner,0.55,
157,天气之子,龙珠,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,auto_miner,0.55,
158,天王星,海王星,宇宙,,same_category_mid,60-70,70,关联度较高,,unknown,0.50,
159,天空之城,大鱼海棠,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank3,suggested_relabel_ab_v1,auto_relabel,0.80,
160,天空之城,怎么猜,动漫,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
161,天空之城,数码宝贝,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1,auto_relabel,0.80,
162,天空之城,星游记,动漫,动漫,related_mid,60-75,68,failed_top1_confusion,suggested_relabel_ab_v1,auto_relabel,0.80,
163,失望,酸辣粉,感情,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
164,失落,压抑,感情,,same_category_mid,60-70,60,都是负面情绪,,unknown,0.50,
165,失落,失落,感情,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
166,夸父,夔牛,神话,,same_category_mid,60-70,60,都是神话，但关联度不高,,unknown,0.50,
167,女娲,朱雀,神话,,same_category_mid,60-70,60,都是神话，但关联度不高,,unknown,0.50,
168,女巫,丘比特,狼人杀,,same_category_mid,60-70,70,关联度较高,,unknown,0.50,
169,女巫,粥品,狼人杀,,cross_category_low,0-30,2,二者不搭界,,unknown,0.50,
170,妖精尾巴,星座,动漫,,cross_category_low,0-30,5,二者不搭界,,unknown,0.50,
171,妖精尾巴,白蛇缘起,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank3,suggested_relabel_ab_v1,auto_relabel,0.80,
172,妖精尾巴,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,auto_miner,0.55,
173,妖精尾巴,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,auto_miner,0.55,
174,委屈,委屈,感情,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
175,嫉妒,会议,感情,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
176,嫉妒,规整,感情,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
177,孤寂,孤寂,情感,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
178,孤寂,路线阻挡,情感,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
179,守卫,午休,狼人杀,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
180,守口如瓶,不外传,成语,,hint_like_high,70-90,80,关联度较高,,unknown,0.50,
181,守墓人,守墓人,狼人杀,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
182,守夜人,守夜人,狼人杀,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
183,守护神,狼美人,狼人杀,,same_category_mid,60-70,70,都为狼人杀，范围接近,,unknown,0.50,
184,安检,安检,旅游,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
185,实验,旋转,学习,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
186,实验,现象观察,学习,,hint_like_high,70-90,80,关联度较高,,unknown,0.50,
187,害怕,翻书找页,感情,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
188,害怕,起风了,感情,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
189,对接,驯熊师,工作,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
190,对齐,同步目标,工作,,hint_like_high,70-90,90,联想度高,,unknown,0.50,
191,对齐,瞎子点灯,工作,,cross_category_low,0-30,4,二者不搭界,,unknown,0.50,
192,小年,小年,节日,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
193,小幸运,俯冲,歌曲,,cross_category_low,0-30,4,二者不搭界,,unknown,0.50,
194,小幸运,摆臂协调,歌曲,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
195,小暑,武林,节日,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
196,小溪,小溪,风景,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
197,小笼包,禁锢者,美食,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
198,小行星,愚者,宇宙,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
199,小雪,舞狮,节日,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
200,屈原,端午纪念,人物,,hint_like_high,70-90,90,关联度很高,,unknown,0.50,
201,山谷,脚尖发力,风景,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
202,工程,土木,学科,,hint_like_high,70-90,90,联想度很高,,unknown,0.50,
203,应龙,飞天,神话,,hint_like_high,70-90,80,关联度较高,,unknown,0.50,
204,开心,惬意,感情,,same_category_mid,60-70,70,都是情感，但关联度高,,unknown,0.50,
205,张信哲,张信哲,歌手,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
206,张信哲,立夏,歌手,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
207,张学友,张学友,歌手,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
208,张杰,答辩,歌手,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
209,张良,悬崖,人物,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
210,弹跳,弹跳,动作,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
211,弹跳,站边后出手,动作,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
212,影子,一字千金,狼人杀,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
213,徒步,一路走,旅游,,hint_like_high,70-90,70,关联度中等,,unknown,0.50,
214,徒步,徒步,旅游,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
215,心猿意马,浮躁,成语,,hint_like_high,70-90,70,语义较为接近,,unknown,0.50,
216,心理,心理,学科,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
217,心疼,柳宗元,情感,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
218,忐忑,战绩,感情,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
219,忐忑,群起围堵,感情,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
220,悬梁刺股,悬梁刺股,典故,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
221,悬梁刺股,旋律,典故,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
222,悬梁刺股,梯田,典故,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
223,悲伤,碑刻,感情,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
224,惆怅,防带走,感情,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
225,惊蛰,节气点,节日,,hint_like_high,70-90,70,节气点包含在节日中,,unknown,0.50,
226,惊蛰,轮岗,节日,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
227,惋惜,铁公鸡,情感,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
228,惬意,草船借箭,感情,,cross_category_low,0-30,20,语义不同,,unknown,0.50,
229,感动,感动,情感,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
230,懊悔,果汁,感情,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
231,懊悔,自责,感情,,hint_like_high,70-90,80,感情接近,,unknown,0.50,
232,手柄,大禹,游戏,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
233,投笔从戎,奔赴战场,典故,,hint_like_high,70-90,70,后者没有描述到投笔的含义,,unknown,0.50,
234,投笔从戎,扫描,典故,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
235,抬头,抬头,动作,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
236,抬头,柜台,动作,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
237,担忧,左右摆,情感,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
238,拉怪,以卵击石,游戏,,cross_category_low,0-30,5,二者不搭界,,unknown,0.50,
239,拉怪,伸手,游戏,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
240,拍照,拍照,旅游,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
241,拓印,石文摹写,文化,,hint_like_high,70-90,80,关联度较高,,unknown,0.50,
242,指鹿为马,伎俩耗尽,典故,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
243,指鹿为马,强词夺理,典故,,hint_like_high,70-90,70,前者具体事件，后者解释而已,,unknown,0.50,
244,按兵不动,按兵不动,成语,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
245,挑灯夜战,挑灯夜战,成语,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
246,挑灯夜战,熬到很晚,成语,,hint_like_high,70-90,80,意思接近但后者非成语,,unknown,0.50,
247,挑灯夜战,通宵赶工,成语,,hint_like_high,70-90,70,字面意思接近,,unknown,0.50,
248,挤压,缩体积,动作,,hint_like_high,70-90,70,后者过于口语化,,unknown,0.50,
249,挥手,仙桃宴,动作,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
250,挥手,抬前臂,动作,,hint_like_high,70-90,90,意思接近,,unknown,0.50,
251,挥拳,挥拳,动作,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
252,挥拳,连线图,动作,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
253,掉线,连接断,游戏,,hint_like_high,70-90,80,关联度较高,,unknown,0.50,
254,掉落,许嵩,游戏,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
255,排期,草堂,工作,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
256,排查,异常点,工作,,hint_like_high,70-90,70,有先后顺序,,unknown,0.50,
257,排查,找问题,工作,,hint_like_high,70-90,90,联想度很高,,unknown,0.50,
258,排查,校准方向,工作,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
259,排球少年,熬到很晚,动漫,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
260,排球少年,犬夜叉,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,auto_miner,0.55,
261,排球少年,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,auto_miner,0.55,
262,排球少年,虹猫蓝兔,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank3,suggested_relabel_ab_v1,auto_relabel,0.80,
263,探图,探图,游戏,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
264,收拾,丢垃圾,生活,,same_category_mid,60-70,70,关联度较高,,unknown,0.50,
265,收拾,收拾,生活,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
266,教程,运动,游戏,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
267,敬佩,老马识途,情感,,cross_category_low,0-30,10,二者不搭界,,unknown,0.50,
268,数学,方程求解,学科,,hint_like_high,70-90,85,后者根据学科内容较容易联想到答案,,unknown,0.50,
