id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer,qc_status,qc_reason,qc_calibrated_score,qc_shared_chars,relabel_bucket,suggested_relation_tag,suggested_expected_range,suggested_score_0_100,relabel_note
12,犬夜叉,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,80.62,0,A_80_100,near_synonym_high,75-90,82,人工确认：是否应从 hard_negative_low 上调
13,银魂,幽游白书,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,80.06,0,A_80_100,near_synonym_high,75-90,82,人工确认：是否应从 hard_negative_low 上调
14,镇魂街,鬼灭之刃,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,79.47,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
15,哆啦A梦,龙猫,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,79.05,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
16,白蛇缘起,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,79.00,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
17,大鱼海棠,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,78.03,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
18,犬夜叉,鬼灭之刃,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,77.49,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
19,镇魂街,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,77.00,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
20,你的名字,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,76.73,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
21,一拳超人,龙猫,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,76.63,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
22,银魂,龙猫,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,76.61,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
23,斗破苍穹,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,76.29,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
24,大鱼海棠,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,75.94,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
25,火影,进击的巨人,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,75.66,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
26,天空之城,星游记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,75.66,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
27,银魂,樱桃小丸子,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,75.46,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
28,天空之城,数码宝贝,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,75.44,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
29,不良人,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,75.35,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
30,咒术回战,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,74.85,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
31,全职猎人,数码宝贝,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,74.74,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
32,风之谷,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,74.74,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
33,名侦探柯南,黑执事,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,74.64,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
34,一拳超人,喜羊羊,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,74.30,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
35,斗罗大陆,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,74.22,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
36,犬夜叉,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,74.20,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
37,天气之子,你的名字,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,74.15,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
38,斗罗大陆,刀剑神域,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,73.99,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
39,海贼王,大鱼海棠,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,73.86,1,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
40,星游记,妖精尾巴,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,73.82,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
41,火影,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,72.68,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
42,斗破苍穹,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,72.35,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
43,蜡笔小新,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,72.15,1,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
44,鬼灭之刃,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,72.07,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
45,圣斗士,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,71.87,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
46,一人之下,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,71.79,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
47,东京喰种,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,71.78,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
48,圣斗士,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,71.59,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
49,名侦探柯南,刺客伍六七,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,71.54,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
50,数码宝贝,刀剑神域,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,71.22,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
51,喜羊羊,龙猫,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,70.53,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
52,网球王子,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,70.48,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
53,天空之城,大鱼海棠,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,70.45,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
54,数码宝贝,进击的巨人,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,70.38,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
55,你的名字,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,70.19,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
56,排球少年,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,70.10,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
57,千与千寻,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,69.75,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
58,你的名字,大鱼海棠,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,69.72,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
59,圣斗士,龙珠,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,69.04,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
60,哆啦A梦,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,67.84,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
61,狐妖小红娘,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,66.97,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
62,秦时明月,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,66.95,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
63,妖精尾巴,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,66.84,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
64,美少女战士,咒术回战,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,66.31,1,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
65,一人之下,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,65.89,1,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
66,命运之夜,进击的巨人,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,65.79,0,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
67,斗罗大陆,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,65.21,1,B_65_79,related_mid,60-75,68,人工确认：是否应从 hard_negative_low 上调
68,数码宝贝,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,64.76,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
69,不良人,刀剑神域,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,63.23,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
70,鬼灭之刃,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,63.15,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
71,天气之子,龙珠,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,62.90,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
72,熊出没,龙猫,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,61.78,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
73,斗破苍穹,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,61.72,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
74,排球少年,犬夜叉,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,61.12,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
75,排球少年,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,60.26,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
76,名侦探柯南,画江湖,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,60.16,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
77,红猪,大鱼海棠,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,59.82,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
78,妖精尾巴,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,59.76,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
79,命运之夜,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,59.57,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
80,风之谷,大鱼海棠,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,59.53,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
81,死神,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,59.52,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
82,灌篮高手,海贼王,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,59.27,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
83,咒术回战,龙珠,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,59.16,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
84,铃芽之旅,灵笼,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,58.98,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
85,妖精尾巴,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,58.66,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
86,星游记,海贼王,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,58.51,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
87,灵笼,鬼灭之刃,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,58.51,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
88,大鱼海棠,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,58.50,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
89,咒术回战,言叶之庭,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,58.15,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
90,刺客伍六七,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,57.98,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
91,死神,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,57.81,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
92,全职猎人,银魂,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,57.32,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
93,狐妖小红娘,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,56.91,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
94,秦时明月,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,54.88,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
95,红猪,海贼王,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,54.76,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
96,千与千寻,龙猫,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,54.37,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
97,狐妖小红娘,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,54.25,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
98,美少女战士,银魂,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,53.83,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
99,网球王子,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,52.21,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
100,美少女战士,犬夜叉,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,51.92,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
101,东京喰种,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,51.23,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
102,刺客伍六七,樱桃小丸子,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,51.23,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
103,铃芽之旅,龙猫,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,50.53,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
104,铃芽之旅,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,50.35,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
105,哆啦A梦,喜羊羊,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,50.33,0,C_50_64,related_mid,45-60,55,人工确认：是否应从 hard_negative_low 上调
106,火影,龙猫,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,49.86,0,D_35_49,related_low,30-45,40,人工确认：是否应从 hard_negative_low 上调
107,青之驱魔师,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,49.85,0,D_35_49,related_low,30-45,40,人工确认：是否应从 hard_negative_low 上调
108,熊出没,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,49.85,0,D_35_49,related_low,30-45,40,人工确认：是否应从 hard_negative_low 上调
109,不良人,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,49.36,0,D_35_49,related_low,30-45,40,人工确认：是否应从 hard_negative_low 上调
110,秦时明月,喜羊羊,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,49.33,0,D_35_49,related_low,30-45,40,人工确认：是否应从 hard_negative_low 上调
111,风之谷,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,49.07,0,D_35_49,related_low,30-45,40,人工确认：是否应从 hard_negative_low 上调
112,喜羊羊,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,48.88,0,D_35_49,related_low,30-45,40,人工确认：是否应从 hard_negative_low 上调
113,未闻花名,画江湖,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,48.28,0,D_35_49,related_low,30-45,40,人工确认：是否应从 hard_negative_low 上调
114,天气之子,海贼王,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,47.48,0,D_35_49,related_low,30-45,40,人工确认：是否应从 hard_negative_low 上调
115,全职猎人,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,45.12,0,D_35_49,related_low,30-45,40,人工确认：是否应从 hard_negative_low 上调
