text_a,text_b,score
起床,按兵不动,0.27
演员,哑巴吃黄连,0.27
腊八,背包,0.12
守护神,竹篮打水,0.2
那英,森林,0.13
陈奕迅,王菲,0.82
赶鸭子上架,立春,0.27
孤寂,租车,0.13
张学友,张信哲,0.89
关羽,告白气球,0.12
教程,告白,0.25
薛之谦,许嵩,0.88
瞎子摸象,纪念品,0.23
稻香,网球王子,0.16
你的名字,预言家,0.12
茶壶里煮饺,牛排,0.09
挤压,果汁,0.14
国庆,村民,0.14
地球,批改,0.2
背包,星座,0.13
泥塑,麻雀虽小,0.13
谭维维,梯田,0.11
编钟,劳动节,0.21
音乐,音乐,0.99
谷雨,地理,0.21
孔子,湖畔,0.18
王菲,默写,0.11
踮脚,策略,0.28
一人之下,画江湖,0.88
亡羊补牢,管理,0.17
材料,负薪读书,0.19
盲人摸象,盲人摸象,0.99
植物,欣赏,0.26
梁静茹,蔡依林,0.89
越剧,流星雨,0.22
茶道,惋惜,0.09
小雪,集章,0.19
端午,语文,0.16
豆浆,预习,0.1
张杰,蔡依林,0.91
凿壁借光,弯腰,0.17
焦虑,公会,0.24
值机,评书,0.23
那英,张信哲,0.78
蔡依林,张杰,0.83
对齐,欣慰,0.09
小年,代数,0.2
魔术师,天气之子,0.09
翻译,看夜景,0.25
平和,龙舟,0.27
林俊杰,李荣浩,0.84
图穷匕见,图穷匕见,0.99
立春,蹒跚,0.22
李时珍,篆书,0.16
免税,疑惑,0.23
李荣浩,王力宏,0.88
联机,忐忑,0.16
顺水推舟,失望,0.24
饺子,麒麟,0.26
王力宏,李荣浩,0.81
女娲,黄鼠狼拜年,0.28
陶瓷,狼骑士,0.26
酸辣粉,夔牛,0.15
船到桥头,炸鸡,0.24
望远镜,王羲之,0.22
讨论,熊,0.26
谭维维,蔡依林,0.46
孤寂,失望,0.16
计算,烦闷,0.23
登楼,听讲,0.17
混血儿,混血儿,0.99
面条,弓步,0.09
演示,孤寂,0.08
无聊,抬手,0.25
招聘,体面,0.18
单机,熬夜,0.12
白泽,白泽,0.99
震惊,樱花,0.27
冰淇淋,孙燕姿,0.27
立冬,调休,0.15
探图,居安思危,0.12
夏至,立夏,0.86
青之驱魔师,听讲,0.14
芒种,水星,0.17
狼人,机械狼,0.86
俯卧,俯卧,0.99
那英,杨千嬅,0.79
梁静茹,杨千嬅,0.83
幽游白书,酆都,0.28
三顾茅庐,闯关,0.17
蔡依林,礁石,0.22
东京喰种,历史,0.15
毛不易,周深,0.6
隐狼,潜狼,0.8
许嵩,追剧,0.28
暴击,屈原,0.22
心理,握拳,0.18
雪峰,跳跃,0.2
立夏,小暑,0.85
对牛弹琴,踢踏,0.17
草船借箭,看夜景,0.2
陶瓷,农学,0.28
林俊杰,夜曲,0.23
毛不易,蔡依林,0.81
后来,后来我们,0.88
杨千嬅,梁静茹,0.89
自检,秧歌,0.24
邮轮,瀑布,0.25
碑刻,运动,0.1
苏轼,石像鬼,0.26
背包,卧薪尝胆,0.14
亡羊补牢,居安思危,0.09
戏曲,负薪读书,0.25
午休,一箭双雕,0.24
山谷,祭司,0.11
同舟共济,魔术师,0.11
青之驱魔师,咒术回战,0.62
天空之城,犬夜叉,0.51
邓紫棋,谭维维,0.81
匹配,饺子,0.25
策略,指鹿为马,0.14
失落,狼美人,0.08
请假,画江湖,0.27
皮影,晚睡,0.22
芒种,转身,0.26
灯谜,暗能量,0.12
滑行,和尚打伞,0.25
王力宏,刘德华,0.89
手柄,泡芙,0.12
陶瓷,地球,0.08
蔡依林,那英,0.91
策略,张良,0.1
星游记,妖精尾巴,0.88
锦上添花,铁杵磨针,0.22
加班,潜伏,0.2
对症下药,伸手,0.28
守夜人,体面,0.25
猎魔人,弹跳,0.09
阅读,副本,0.14
小行星,李清照,0.09
纸鸢,纸鸢,0.99
点头,纸鸢,0.26
推挡,杜甫,0.15
排查,停下,0.26
张杰,那英,0.78
火锅,火锅,0.99
泥塑,按兵不动,0.14
女娲,美少女战士,0.23
咒术回战,斗罗大陆,0.61
杨戬,杨戬,0.99
汇报,悬梁刺股,0.1
辛弃疾,换汇,0.26
纸上谈兵,起风了,0.22
教程,瞎子摸象,0.14
装修,名不副实,0.13
理财,儿童节,0.12
居安思危,心猿意马,0.18
蜻蜓点水,咖喱,0.23
猎人,狼王,0.62
邮轮,沙拉,0.19
邓紫棋,奶茶,0.12
数码宝贝,海湾,0.23
闯关,演示,0.14
数码宝贝,数码宝贝,0.99
收拾,船到桥头,0.11
疲惫,顺水推舟,0.14
酸奶,销假,0.1
守口如瓶,冷淡,0.25
张信哲,梁静茹,0.8
糖葫芦,伸展,0.19
悬梁刺股,负薪读书,0.86
懊悔,踢踏,0.2
连击,望梅止渴,0.08
春节,测验,0.17
洗漱,听写,0.17
戏曲,劳动节,0.22
谭维维,毛不易,0.63
做饭,复活,0.12
范仲淹,范仲淹,0.99
戏曲,伸手,0.12
疑惑,疑惑,0.99
羞怯,稻香,0.26
俯冲,行星,0.22
鲛人,守株待兔,0.23
林间,刷牙,0.28
觅食,夜曲,0.2
旋转,画饼充饥,0.28
哑巴吃黄连,踮脚,0.22
邓紫棋,周深,0.53
石雕,守墓人,0.23
牛排,小幸运,0.2
海王星,天王星,0.85
实验,伸展,0.23
花田,老虎头上,0.17
蔡依林,王力宏,0.9
小年,复盘,0.09
邮轮,魔术师,0.23
海阔天空,山谷,0.25
薛之谦,周杰伦,0.88
护肤,铁杵磨针,0.17
租房,视角,0.18
周报,行李,0.25
溪流,需求,0.17
皮雕,惊蛰,0.19
蔡依林,孙燕姿,0.86
物理,修灯,0.16
依恋,张学友,0.26
向导,谭维维,0.15
那英,林俊杰,0.89
惊蛰,彩陶,0.25
王勃,糖葫芦,0.19
月球,霜降,0.09
星游记,铃芽之旅,0.56
地理,远程,0.21
经济,粽子,0.26
数码宝贝,青之驱魔师,0.53
日食,月食,0.91
邓紫棋,张信哲,0.91
泡汤,挥手,0.21
王菲,张信哲,0.92
晴天,告白,0.52
烤鱼,订票,0.16
古城,披萨,0.19
张学友,薛之谦,0.83
无奈,化学,0.09
油菜花,锦上添花,0.11
亡羊补牢,剪纸,0.16
银魂,镇魂街,0.51
毛遂自荐,模拟,0.21
陈奕迅,孙燕姿,0.83
悬梁刺股,凿壁借光,0.55
小幸运,未闻花名,0.45
林间,汤圆,0.12
碑刻,做实验,0.23
云海,云海,0.99
平和,李荣浩,0.09
月饼,杨千嬅,0.23
兴奋,东京喰种,0.19
梁静茹,谭维维,0.92
立项,出境,0.14
毛不易,邓紫棋,0.86
西王母,愤懑,0.19
惬意,羞涩,0.27
烤鱼,影子,0.27
羞怯,羞涩,0.89
林俊杰,杨千嬅,0.9
阅读,读书,0.64
无奈,无奈,0.99
盘瓠,按兵不动,0.27
拿鸡毛,李白,0.28
复盘,汤圆,0.11
叶公好龙,夏目友人帐,0.24
联机,联机,0.99
杨千嬅,王菲,0.88
孙燕姿,梁静茹,0.85
处暑,牧场,0.17
后来,购物,0.09
练习,集章,0.09
凿壁借光,孙悟空,0.11
最美的期待,后羿,0.19
孙燕姿,刘德华,0.85
感动,整理,0.15
郑板桥,应龙,0.18
负薪读书,蒲松龄,0.26
虹猫蓝兔,联机,0.28
做笔记,温馨,0.14
惬意,泡澡,0.21
天文,兴奋,0.14
匹配,震撼,0.24
精卫,梁静茹,0.18
卡关,装修,0.26
不良人,一人之下,0.92
委屈,打卡,0.16
后来,冲茶,0.21
做家务,写作,0.13
图穷匕见,陶瓷,0.11
麻雀虽小,排查,0.11
思念,祝融,0.27
祖冲之,冰川,0.18
考古,灵笼,0.19
狗尾续貂,控蓝,0.19
张信哲,邓紫棋,0.85
龙珠,不良人,0.52
前进,孙燕姿,0.13
猪八戒照镜,失落,0.17
小葱拌豆腐,俯卧,0.21
驯熊师,培训,0.15
美少女战士,担忧,0.09
虹猫蓝兔,对症下药,0.26
打扫,打扫,0.99
点头,美少女战士,0.11
网购,名不副实,0.17
洗碗,满足,0.16
糖葫芦,糖葫芦,0.99
守卫,日报,0.27
蹲下,行李,0.09
麻花,貔貅,0.13
三明治,雷公,0.12
趁热打铁,音乐,0.1
评弹,投标,0.28
灯谜,销假,0.11
销假,鬼灭之刃,0.23
护理,引力波,0.1
体面,孙燕姿,0.16
孟子,审核,0.23
销假,烛龙,0.25
井水不犯,迷茫,0.16
理解,思念,0.13
蜡笔小新,熊出没,0.58
自检,语文,0.18
周深,薛之谦,0.55
起风了,红豆,0.79
答辩,签证,0.21
山谷,禁锢者,0.25
犬夜叉,土星,0.21
丹霞,丹霞,0.99
通灵师,白蛇缘起,0.15
连麦,测试,0.09
陨石,泡汤,0.12
夔牛,白蛇缘起,0.25
起风了,匆匆那年,0.84
潜狼,隐狼,0.8
评审,豆浆,0.18
王安石,评审,0.28
匹配,班固,0.27
代数,虹猫蓝兔,0.27
抄写,烦躁,0.13
李荣浩,林俊杰,0.9
辛弃疾,香道,0.23
代数,红豆,0.26
薛之谦,毛不易,0.82
水星,刺绣,0.11
混血儿,花木兰,0.13
完璧归赵,张杰,0.19
海洋,压抑,0.15
匆匆那年,秧歌,0.09
张信哲,那英,0.79
孙燕姿,林俊杰,0.83
四面楚歌,名不副实,0.15
日报,朗读,0.14
复活,考试,0.08
煎饼,雨水,0.15
望梅止渴,名侦探柯南,0.18
张学友,洗衣,0.24
告白,最美的期待,0.85
李荣浩,张信哲,0.81
闯关,春分,0.13
狼狈为奸,小暑,0.27
许嵩,李荣浩,0.9
刘德华,那英,0.87
屈原,日出,0.11
淋浴,烧饼,0.12
禁言长老,禁言长老,0.99
汉堡,投标,0.16
星云,石雕,0.25
铁杵磨针,压抑,0.23
王羲之,听写,0.25
自检,蹲下,0.12
关羽,草甸,0.09
文学,和尚打伞,0.25
毛不易,张杰,0.89
母亲节,新手,0.28
梁静茹,那英,0.84
前进,梯田,0.11
周深,林俊杰,0.81
日出,日出,0.99
洗衣,教程,0.21
中秋,甜品,0.08
