text_a,text_b,score
孙燕姿,孙燕姿,0.95
咒术回战,秦时明月,0.1
三令五申,挥手,0.06
无聊,演员,0.07
超新星,禁言长老,0.06
国庆,连麦,0.05
沙漠,沙漠,0.93
岳飞,复习,0.08
挟天子,离职,0.07
国画,猎人,0.09
判官,海浪,0.06
井底之蛙,炸鸡,0.04
护肤,蜻蜓点水,0.09
冷淡,动物,0.06
立秋,代数,0.05
果汁,需求,0.03
言叶之庭,拍照,0.03
视角,视角,0.92
儿童节,招聘,0.07
井水不犯,白居易,0.03
嫉妒,汉堡,0.05
薛之谦,交接,0.03
周杰伦,读书,0.06
伤心,望远镜,0.04
张衡,大鱼海棠,0.09
破釜沉舟,破釜沉舟,0.97
熬夜,孙燕姿,0.06
许嵩,祭司,0.05
百发百中,汇报,0.1
书法,查阅,0.03
越剧,禁言长老,0.06
樱花,订房,0.03
解答,心酸,0.05
刺绣,望远镜,0.05
挥手,挥手,0.94
考试,一字千金,0.07
草甸,草甸,0.99
麒麟,一字千金,0.1
狼王,刘德华,0.08
泡芙,泡芙,0.93
调休,草甸,0.03
俯卧,租房,0.07
黑洞,翻译,0.08
摇头,沙拉,0.05
貔貅,调休,0.07
幽游白书,泥菩萨过,0.03
敬佩,连麦,0.08
握拳,火影,0.03
果汁,阅读,0.06
安心,安心,0.94
青之驱魔师,后羿,0.04
石雕,听课,0.1
读档,数学,0.09
闯关,调休,0.04
泡澡,泡澡,0.97
星系,星系,0.98
里程碑,单机,0.05
寿司,寿司,0.98
心疼,跟踪,0.07
网购,匆匆那年,0.09
挑灯夜战,泡汤,0.05
催办,夜曲,0.1
酆都,远程,0.06
虹猫蓝兔,政治,0.03
猫哭耗子,秃子头上,0.22
升级,影子,0.06
铁杵磨针,麻花,0.09
代数,湖泊,0.05
动物,邯郸学步,0.06
烛龙,烛龙,0.92
培训,解答,0.03
张学友,写作,0.05
政治,震撼,0.04
愤懑,愤懑,0.91
古镇,古镇,0.97
黑执事,孔子,0.06
租房,租房,0.94
麻花,白蛇缘起,0.04
井底青蛙,秦始皇,0.06
韩愈,平凡之路,0.09
刷本,新手,0.07
陶瓷,劳动节,0.08
安心,张衡,0.06
小年,沙漠,0.1
图穷匕见,图穷匕见,0.98
测验,溪流,0.06
土星,酆都,0.07
秦始皇,泡芙,0.1
小满,惋惜,0.09
护肤,年画,0.09
地球,上课,0.07
暗物质,读书,0.02
芒种,芒种,0.96
解答,皮雕,0.06
卡关,卡关,0.96
政治,政治,0.98
副本,王安石,0.04
咖喱,预习,0.1
腊八,旋转,0.1
幽游白书,周深,0.09
黑洞,跳跃,0.08
木偶,守株待兔,0.04
秦时明月,班固,0.05
红猪,开心,0.08
视角,庙会,0.07
大公无私,红豆,0.05
八面玲珑,惋惜,0.09
按兵不动,紧张,0.03
冲茶,光年之外,0.03
上网,上网,0.99
海岸,理解,0.07
牧场,孙燕姿,0.03
豆腐,望梅止渴,0.04
舞狮,教育,0.03
失望,对症下药,0.08
听讲,听讲,0.92
画饼充饥,顺水推舟,0.03
失落,巫师,0.07
晚睡,托运,0.07
祖冲之,斗罗大陆,0.04
听写,听写,0.96
糖葫芦,拓印,0.09
铁公鸡,向导,0.09
井然有序,熊出没,0.07
水星,疲惫,0.06
上课,上课,0.94
感恩节,纸鸢,0.08
嫉妒,月球,0.07
船到桥头,船到桥头,0.93
上线,做梦,0.07
跟进,做题,0.1
查阅,查阅,0.99
元宵,铃芽之旅,0.1
小雪,言叶之庭,0.1
担忧,引力波,0.04
女魃,女魃,0.91
儿童节,祝融,0.04
匆匆那年,匆匆那年,0.96
赶车,东京喰种,0.07
心疼,对齐,0.03
真空,真空,0.95
加班,灌篮高手,0.02
需求,伏羲,0.07
转机,工程,0.03
预备役,预备役,0.92
白虎,立冬,0.07
对齐,指鹿为马,0.03
倒挂,一人之下,0.03
辛弃疾,辛弃疾,0.95
转机,转机,0.99
竹海,铁公鸡,0.03
塔防,老鼠过街,0.06
洗漱,洗漱,0.93
言叶之庭,忐忑,0.1
河伯,拍照,0.05
瓜田李下,拍景,0.07
咖喱,倒挂,0.09
掉线,楹联,0.06
猎魔人,猎魔人,0.93
策略,郁闷,0.09
单刀赴会,惊喜,0.05
悲伤,张学友,0.08
秀才遇鬼,张杰,0.08
看展,期待,0.03
自检,豆腐,0.09
赶鸭子上架,开荒,0.03
盗贼,整理,0.1
司马迁,掩耳盗铃,0.1
唇亡齿寒,果汁,0.07
秧歌,惊讶,0.03
豆腐,上线,0.1
守口如瓶,花灯,0.08
昆曲,杨千嬅,0.05
狼人,代数,0.05
起风了,羡慕,0.03
羞怯,坦诚,0.07
星系,斗破苍穹,0.03
臭豆腐,神农,0.05
小雪,孙悟空,0.06
通灵师,火锅,0.04
赶鸭子上架,存档,0.08
惊喜,惊喜,0.95
踢踏,纸里包火,0.07
复述,社火,0.03
懊悔,出境,0.05
复盘,复盘,0.94
教育,教育,0.92
拍手,淡定,0.04
诸葛亮,晒衣,0.03
复活节,海王星,0.06
王安石,酸奶,0.02
欣慰,持之以恒,0.05
祖冲之,郑和,0.07
交付,完璧归赵,0.08
讨论,抄写,0.03
儿童节,糖葫芦,0.06
魔术师,真空,0.04
香道,逛街,0.1
居安思危,居安思危,0.91
羡慕,羡慕,0.98
应龙,园艺,0.04
期待,期待,0.99
京剧,购物,0.05
刺绣,悬梁刺股,0.24
月饼,清明,0.08
全职高手,杯水车薪,0.04
银魂,银魂,0.97
处暑,立冬,0.03
琴棋,驯熊师,0.04
全职猎人,惊喜,0.07
黄鼠狼拜年,技能,0.08
政治,合成,0.05
庙会,庙会,0.92
读档,母亲节,0.04
兔子尾巴,黑执事,0.07
泥塑,泥塑,0.92
全职高手,皮雕,0.07
对症下药,麻雀虽小,0.07
地理,迈步,0.06
排球少年,退避三舍,0.1
厌烦,林俊杰,0.06
讲解,漫步,0.09
柳宗元,张信哲,0.08
夔牛,夔牛,0.94
老虎头上,滥竽充数,0.04
阅读,前进,0.02
竹竿进城,竹竿进城,0.95
安心,唇亡齿寒,0.03
激动,激动,0.96
兔子尾巴,地理,0.02
馒头,孔子,0.05
披萨,愧疚,0.06
走位,龙猫,0.03
周报,盲人摸象,0.06
整理,海湾,0.05
后来,镇魂街,0.09
熬夜,平静,0.03
王安石,王安石,0.98
守株待兔,沙盒,0.07
狐妖小红娘,烦闷,0.08
排期,懊悔,0.04
羡慕,羡慕,0.96
铃芽之旅,一鸣惊人,0.06
告白气球,练习,0.09
园艺,测试,0.1
血月使者,瀑布,0.07
需求,需求,0.91
秀才遇鬼,预读,0.07
晴天,梁静茹,0.06
面条,惆怅,0.05
过图,过图,0.98
掉线,感动,0.04
林俊杰,擀面杖吹火,0.04
懊悔,山谷,0.04
越剧,外卖,0.06
解谜,解谜,0.92
一人之下,夜曲,0.05
观光,观光,0.95
羞怯,交接,0.05
孟子,落座,0.08
出境,养宠,0.03
张衡,八面玲珑,0.06
小幸运,统计,0.09
谭维维,蛋挞,0.09
投标,影子,0.04
草船借箭,森林,0.08
篆刻,孟婆,0.07
盘古,盘腿,0.44
做饭,激昂,0.09
应龙,应龙,0.96
雪峰,麒麟,0.03
满足,瞎子摸象,0.07
樱花,视角,0.09
西王母,害怕,0.07
教育,白虎,0.05
杯弓蛇影,销假,0.03
后羿,花灯,0.08
走位,收拾,0.09
立秋,元宵,0.08
四面楚歌,数学,0.04
王羲之,晴天,0.06
排球少年,狼美人,0.07
教程,演示,0.05
喜羊羊,失望,0.03
合成,隐狼,0.03
大雪,大雪,0.98
逻辑,羞愧,0.04
徒步,下线,0.04
兴奋,烤鱼,0.08
星云,匹配,0.08
墙头草,伸手,0.02
周杰伦,蜻蜓点水,0.06
升级,圣斗士,0.06
惬意,麒麟,0.09
教育,平静,0.04
疲惫,热切,0.07
张学友,租房,0.05
蛋挞,蛋挞,0.96
雨水,法学,0.05
逻辑,皮肤,0.04
望梅止渴,听课,0.1
斗破苍穹,斗破苍穹,0.93
匆匆那年,匆匆那年,0.94
花木兰,鲁迅,0.07
鹤立鸡群,鹤立鸡群,0.91
许嵩,戏曲,0.07
滑行,晴天,0.09
天体,天体,0.92
编钟,露台,0.04
音乐,屈原,0.1
秦时明月,秦时明月,0.98
梁静茹,轻松,0.05
极光,薛之谦,0.05
狼人,嫉妒,0.04
日食,舞狮,0.08
起身,灯谜,0.07
守护神,烧烤,0.08
战绩,伸手,0.05
踢踏,踢踏,0.92
洗漱,卧薪尝胆,0.02
魔术师,停下,0.06
外卖,外卖,0.91
处暑,处暑,0.95
卧冰求鲤,木星,0.04
排位,逻辑,0.06
拍景,拍景,0.96
整理,光年之外,0.07
踢踏,天文,0.03
搬家,楹联,0.08
抬手,计算,0.04
杨千嬅,杨千嬅,0.95
元旦,经济,0.04
对牛弹琴,起身,0.09
井底之蛙,蜻蜓点水,0.02
芒种,温馨,0.04
晴天,踮脚,0.07
懊悔,小溪,0.05
负薪读书,负薪读书,0.91
教育,斗罗大陆,0.07
园艺,园艺,0.91
纸上谈兵,老鼠过街,0.07
一鸣惊人,冬至,0.05
约法三章,约法三章,0.94
忐忑,忐忑,0.95
咒术回战,冰淇淋,0.08
握拳,张信哲,0.08
敬佩,孙悟空,0.1
刮骨疗毒,手柄,0.06
轻松,守墓人,0.04
联机,海王星,0.04
听写,听写,0.93
无奈,期待,0.09
泥菩萨过,自相矛盾,0.1
土星,日出,0.09
舞狮,立项,0.07
七夕,七夕,0.93
烦闷,夸父,0.06
语文,期待,0.09
登顶,登顶,0.97
八仙过海,预言家,0.05
伸展,失落,0.08
心猿意马,祖冲之,0.07
红移,转机,0.04
村民,饕餮,0.03
茶园,投笔从戎,0.04
岳飞,云雾,0.02
陶瓷,方案,0.05
小葱拌豆腐,小葱拌豆腐,0.92
辛弃疾,潜狼,0.05
高山流水,八仙过海,0.1
闯关,地质,0.09
懊悔,孙燕姿,0.03
剪纸,海洋,0.06
流星雨,首领,0.06
拿鸡毛,拿鸡毛,0.99
踮脚,小笼包,0.05
年画,沙拉,0.07
潜狼,春节,0.08
杯水车薪,杯水车薪,0.92
安心,卧薪尝胆,0.07
影子,影子,0.96
酸辣粉,石桥,0.1
庙会,张良,0.08
豆花,祖冲之,0.07
大雪,释然,0.07
猪八戒照镜,秃子头上,0.05
猎人,画饼充饥,0.05
茶道,安检,0.1
默写,大禹,0.08
复述,心疼,0.07
海岸,海岸,0.92
铃芽之旅,铃芽之旅,0.94
邯郸学步,邯郸学步,0.98
王安石,王安石,0.91
历史,麻辣烫,0.02
取件,应龙,0.08
小葱拌豆腐,演示,0.1
订票,技能,0.06
一鸣惊人,过图,0.09
楹联,韩愈,0.09
腊八,光年,0.05
拿鸡毛,拿鸡毛,0.92
守口如瓶,守口如瓶,0.99
灯谜,调休,0.1
滥竽充数,臭豆腐,0.07
星系,溪流,0.07
摄梦人,上课,0.05
那英,那英,0.9
东京喰种,东京喰种,0.92
肉夹馍,肉夹馍,0.97
掉落,女娲,0.07
拍照,班固,0.1
通风,苦闷,0.06
猪八戒照镜,真挚,0.04
卧冰求鲤,玄鸟,0.09
疑惑,疑惑,0.91
泡汤,泥塑,0.08
琴棋,琴棋,0.96
郑板桥,控蓝,0.03
集章,销假,0.07
测绘,测绘,0.93
天空之城,日食,0.08
愉快,水星,0.05
小葱拌豆腐,望梅止渴,0.08
王菲,斗罗大陆,0.03
灯谜,盗贼,0.03
登机,排球少年,0.04
杯弓蛇影,柳宗元,0.04
离职,吹笛者,0.04
煎饼,铃芽之旅,0.1
写论文,登楼,0.06
魔术师,夜游,0.09
无奈,通风,0.02
元旦,雷公,0.05
推挡,冬至,0.05
黔驴技穷,劳动节,0.03
自检,握拳,0.06
孤寂,孤寂,0.92
魔女宅急便,掉线,0.1
纸上谈兵,流星雨,0.07
物理,挟天子,0.04
释然,满足,0.09
冷漠,踮脚,0.06
释然,首领,0.05
测绘,麻雀虽小,0.05
失落,杜甫,0.09
外卖,按部就班,0.08
满足,满足,0.98
进击的巨人,敬佩,0.09
疲惫,烦闷,0.09
教育,斗罗大陆,0.1
法学,石雕,0.05
司马光,汤圆,0.05
理财,平凡之路,0.04
刮骨疗毒,修灯,0.06
相声,相声,0.99
嫉妒,嫉妒,0.99
预备役,自检,0.06
百发百中,羞怯,0.07
盘古,盘古,0.93
订房,心猿意马,0.02
汉堡,湖畔,0.06
守墓人,守墓人,0.96
坦诚,拍景,0.04
熊,端午,0.03
卡关,禁言长老,0.08
动物,药学,0.06
三令五申,搬家,0.06
面条,羞怯,0.03
禁锢者,刘德华,0.03
陆游,攻略,0.09
熊出没,炸鸡,0.1
竹竿进城,竹竿进城,0.92
上线,对症下药,0.08
欣慰,看海,0.06
赶鸭子上架,做实验,0.05
卧冰求鲤,卧冰求鲤,0.96
愤懑,蔡依林,0.07
晴天,陨石,0.05
炸鸡,青花瓷,0.04
迷茫,叶公好龙,0.05
茶道,瀑布,0.09
温柔,温柔,0.94
糖葫芦,糖葫芦,0.98
火影,做笔记,0.05
挤压,羡慕,0.06
坦诚,蜡笔小新,0.08
泡芙,冷漠,0.08
依恋,依恋,0.95
跟踪,小葱拌豆腐,0.09
纪念品,大禹,0.09
热切,整理,0.08
美术,破釜沉舟,0.08
向导,向导,0.97
立春,疑惑,0.06
草船借箭,镇魂街,0.02
运动,告白,0.07
白露,亡羊补牢,0.08
火锅,火锅,0.95
猎魔人,纪念品,0.1
盘古,养宠,0.09
弯腰,西王母,0.07
预备役,漫步,0.09
新手,孤独,0.05
岳飞,代数,0.09
烦闷,白露,0.08
轨道,排期,0.05
转机,豆浆,0.09
猪八戒照镜,压抑,0.09
暗物质,刘德华,0.03
药学,丹霞,0.05
逻辑,逻辑,0.96
羞涩,羞涩,0.95
对接,馄饨,0.07
烛龙,首领,0.08
愤懑,首领,0.09
言叶之庭,文天祥,0.07
讨论,讨论,0.95
全职猎人,鲛人,0.19
秀才遇鬼,秀才遇鬼,0.95
油菜花,夜游,0.02
一拳超人,一拳超人,0.95
刮骨疗毒,卫星,0.08
感恩节,猎魔人,0.07
自相矛盾,墙头草,0.07
林俊杰,林俊杰,0.96
黑洞,拿鸡毛,0.02
酸辣粉,追剧,0.09
触龙说赵,触龙说赵,0.98
居安思危,酸奶,0.02
张学友,盘腿,0.03
青之驱魔师,青之驱魔师,0.94
释然,朗读,0.09
元宵,忐忑,0.1
白蛇缘起,触龙说赵,0.06
挤压,挤压,0.97
安心,李荣浩,0.08
管理,海阔天空,0.08
玄女,玄女,0.97
水星,望远镜,0.04
按兵不动,逻辑,0.04
茶园,元宵,0.05
刷本,云海,0.06
讲解,失望,0.05
貔貅,寒露,0.07
预言家,预言家,0.93
答辩,走位,0.09
杯水车薪,张信哲,0.1
狐妖小红娘,狐妖小红娘,0.97
围魏救赵,围魏救赵,0.93
取件,青之驱魔师,0.1
刘德华,魔术师,0.06
隐狼,螺蛳粉,0.04
读档,读档,0.98
写论文,写论文,0.92
合成,白虎,0.08
悬崖,逛馆,0.07
单机,祝融,0.1
白居易,以卵击石,0.02
谷雨,嫦娥,0.09
纸上谈兵,掩耳盗铃,0.02
平凡之路,龙猫,0.09
告白,欣慰,0.08
通话,孟子,0.1
高山流水,指鹿为马,0.08
愤怒,愤怒,0.93
刷牙,黄鼠狼拜年,0.09
立春,侧步,0.05
韩愈,吹笛者,0.07
卧薪尝胆,四面楚歌,0.03
挥手,青之驱魔师,0.06
压抑,压抑,0.92
麻辣烫,麻辣烫,0.93
觅食,一箭双雕,0.04
红豆,网球王子,0.06
银河,海贼王,0.03
托运,土星,0.09
羡慕,地质,0.03
八仙过海,投标,0.1
流星雨,流星雨,0.97
墙头草,寒露,0.06
气候,气候,0.92
咒术回战,中秋,0.09
愧疚,后退,0.09
守护神,蹒跚,0.07
审核,上网,0.06
预言家,预言家,0.94
日出,刀剑神域,0.03
计算,计算,0.96
沙盒,沙盒,0.91
弹跳,黑执事,0.05
文学,共工,0.04
四面楚歌,银河,0.06
月食,夜曲,0.09
烧烤,烧烤,0.96
元旦,化学,0.09
刷本,下线,0.07
鸡犬升天,敬佩,0.03
吹笛者,露台,0.1
土星,名不副实,0.09
平和,评书,0.02
森林,馄饨,0.09
奔跑,手柄,0.06
背水一战,护理,0.05
吹笛者,饺子,0.07
惆怅,后羿,0.1
辛弃疾,韩愈,0.08
跟进,琴棋,0.1
观光,收拾,0.06
粽子,墙头草,0.09
狼狈为奸,狼狈为奸,0.92
夜游,刑天,0.05
井水不犯,熊出没,0.07
秃子头上,焦虑,0.09
负荆请罪,释然,0.07
不良人,元宵,0.06
海湾,海湾,0.94
一人之下,一人之下,0.96
满足,讨论,0.03
挟天子,查阅,0.06
星游记,翻滚,0.09
楹联,楹联,0.91
上网,翻译,0.02
晚睡,竹海,0.1
划点,纸上谈兵,0.09
推挡,灌篮高手,0.09
名不副实,网球王子,0.07
讲解,后退,0.07
测试,测试,0.9
杯水车薪,舞狮,0.07
夔牛,退避三舍,0.06
引力波,流星雨,0.08
船到桥头,负荆请罪,0.04
哆啦A梦,河伯,0.09
淡定,樱花,0.04
饺子,饺子,0.97
战绩,影子,0.07
合成,跟踪,0.06
自豪,刷牙,0.05
狗咬吕洞宾,狗咬吕洞宾,0.98
负薪读书,离职,0.04
猎人,上网,0.06
冬至,交接,0.05
腾挪,欣慰,0.1
晒衣,纸上谈兵,0.05
踢踏,破釜沉舟,0.04
失落,坐船,0.07
书法,煎饼,0.03
篆书,激动,0.09
伤心,火影,0.05
销假,孤独,0.05
开心,挥手,0.03
地球,地球,0.94
讨论,讨论,0.93
激动,约法三章,0.08
铁公鸡,铁公鸡,0.96
倒挂,儿童节,0.04
机械狼,魔术师,0.09
批改,楹联,0.09
侧步,方案,0.03
练习,湖泊,0.03
负荆请罪,负荆请罪,0.95
披萨,披萨,0.94
海阔天空,杜甫,0.08
手柄,冬至,0.06
纪念品,孤寂,0.06
陨石,泥塑,0.04
晚睡,粥品,0.04
日报,日报,0.91
月球,自检,0.07
纪念品,引力波,0.09
盲人摸象,焦虑,0.06
竹编,社火,0.05
锦上添花,划点,0.09
舞狮,舞狮,0.95
白虎,白虎,0.99
心猿意马,行星,0.06
老虎头上,震惊,0.03
淋浴,摘记,0.03
昆曲,王安石,0.04
卧薪尝胆,指鹿为马,0.03
空间站,购物,0.03
你的名字,庄子,0.06
国庆,平静,0.09
铃芽之旅,铃芽之旅,0.91
匹配,月球,0.04
岳飞,岳飞,0.95
春节,疲惫,0.04
机械狼,机械狼,0.96
压抑,落座,0.06
需求,林黛玉,0.05
卧薪尝胆,冲茶,0.04
李白,影子,0.04
麻花,对接,0.08
修灯,修灯,0.93
花木兰,魔女宅急便,0.05
自驾,自驾,0.95
晚睡,联机,0.07
借刀杀人,海岸,0.05
禁锢者,禁锢者,0.98
斗罗大陆,太阳系,0.1
轻松,弹跳,0.05
打卡,招聘,0.09
国庆,国庆,0.92
幽游白书,告白气球,0.23
懊悔,谭维维,0.08
后羿,后羿,0.94
惬意,愤懑,0.09
花田,月球,0.04
泥塑,泥塑,0.96
订房,哆啦A梦,0.08
手柄,拍手,0.38
狼王,泥菩萨过,0.07
语文,沙漠,0.04
许嵩,豆腐,0.06
负薪读书,唇亡齿寒,0.04
盲人摸象,大暑,0.05
测试,测试,0.95
中秋,守口如瓶,0.07
指鹿为马,排查,0.06
立冬,会议,0.09
星系,愤懑,0.08
麻雀虽小,青铜,0.05
元旦,老虎头上,0.03
联机,火箭,0.06
铁公鸡,老子,0.07
烤鱼,丹霞,0.07
握拳,按兵不动,0.04
稻香,瀑布,0.06
轻松,居安思危,0.07
登楼,阎罗,0.06
溪流,相声,0.06
掩耳盗铃,掩耳盗铃,0.93
跳跃,天王星,0.1
火箭,风之谷,0.05
白狼王,狼狈为奸,0.21
饕餮,元旦,0.05
塔防,孔子,0.05
三顾茅庐,祝融,0.04
旋转,记忆,0.03
掉落,抬手,0.06
油菜花,元旦,0.04
皮影,咖喱,0.09
糖葫芦,混血儿,0.07
黑洞,年画,0.03
洗漱,查阅,0.04
杯水车薪,杯水车薪,0.98
中秋,星云,0.06
神农,前进,0.05
庙会,背诵,0.04
翻滚,拍照,0.1
禁言长老,麒麟,0.08
陆游,陆游,0.93
冷漠,水中捞月,0.06
斗破苍穹,斗破苍穹,0.92
后羿,滥竽充数,0.04
夏至,皮影,0.07
负荆请罪,泥塑,0.08
游戏王,游戏王,0.92
趁热打铁,暗能量,0.08
豆花,抽卡,0.04
漆器,漆器,0.97
梯田,统计,0.06
策略,面条,0.04
山谷,惊讶,0.06
酆都,默写,0.05
关羽,编钟,0.07
材料,跟踪,0.02
铁公鸡,挤压,0.03
心酸,鬼灭之刃,0.07
国画,红豆,0.06
最美的期待,千与千寻,0.02
鲛人,守卫,0.02
十年,杨戬,0.1
李白,竹编,0.06
红猪,铃芽之旅,0.02
集章,集章,0.93
雨水,晚霞,0.1
午休,演员,0.06
理解,辛弃疾,0.05
评书,评书,0.97
寒露,画地为牢,0.03
纸上谈兵,纸上谈兵,0.98
王安石,王安石,0.95
巫师,俯身,0.1
处暑,石桥,0.07
先知,转机,0.02
失落,远程,0.03
哲学,刑天,0.05
恒星,通风,0.06
粽子,礁石,0.07
社会,指鹿为马,0.07
自豪,自豪,0.91
邓紫棋,杯弓蛇影,0.05
狼王,墙头草,0.09
暗能量,暗能量,0.98
纪念品,游戏王,0.03
孤寂,挥拳,0.03
统计,统计,0.91
冰淇淋,订票,0.05
哲学,七夕,0.06
订票,樱花,0.07
瀑布,匹配,0.03
社会,张杰,0.09
立夏,疑惑,0.03
机械狼,炸鸡,0.1
风之谷,调休,0.09
羞涩,河伯,0.08
煎饼,悬梁刺股,0.07
火影,火影,0.93
投笔从戎,豆腐,0.03
司马迁,释然,0.08
梦魇,刻舟求剑,0.09
依恋,酸辣粉,0.1
咒术回战,咒术回战,0.98
亡羊补牢,龙舟,0.05
文天祥,陈奕迅,0.04
岳飞,看展,0.04
瞎子摸象,喜羊羊,0.04
行李,行李,0.95
死神,死神,0.95
张良,下线,0.07
轨道,释然,0.04
租房,腾挪,0.09
一拳超人,茶道,0.04
温馨,圣斗士,0.03
拉怪,百发百中,0.08
摄梦人,月食,0.04
无奈,画地为牢,0.08
馒头,同舟共济,0.02
甜品,游戏王,0.04
生态,杨千嬅,0.06
漫步,漫步,0.94
归纳,告白,0.07
斗罗大陆,纸上谈兵,0.06
罗小黑战记,夜曲,0.07
打扫,打扫,0.98
言叶之庭,言叶之庭,0.93
排查,对牛弹琴,0.04
火箭,喜悦,0.08
担忧,香道,0.07
画蛇添足,日报,0.09
鹤立鸡群,鹤立鸡群,0.94
画地为牢,做作业,0.03
对症下药,圣诞,0.05
香道,刘德华,0.03
音乐,释然,0.04
梦魇,日食,0.08
里程碑,冬至,0.06
晚睡,解谜,0.02
青之驱魔师,李清照,0.07
轻松,轻松,0.91
欣喜,越剧,0.05
暗能量,女魃,0.07
弓步,匆匆那年,0.1
守夜人,瀑布,0.03
茶园,惋惜,0.03
起身,起身,0.98
俯身,花灯,0.08
打扫,先知,0.09
持之以恒,血月使者,0.07
太阳系,惊恐,0.03
墙头草,停下,0.05
背诵,丹霞,0.06
柳宗元,投标,0.09
羞愧,触龙说赵,0.1
生物,依恋,0.08
刺客伍六七,白蛇缘起,0.04
火星,破釜沉舟,0.05
狼美人,疲惫,0.06
雨水,做实验,0.07
谭维维,惊蛰,0.05
地球,忐忑,0.06
李时珍,梯田,0.09
抽卡,抽卡,0.93
破釜沉舟,评书,0.04
登楼,八仙过海,0.06
井然有序,国画,0.08
盘瓠,八面玲珑,0.05
听讲,销假,0.09
隐狼,隐狼,0.91
卫星,杨千嬅,0.07
汉堡,集章,0.06
张良,罗小黑战记,0.09
屈原,背包,0.07
灵笼,背水一战,0.08
古城,古城,0.92
观光,盘腿,0.07
退避三舍,退避三舍,0.91
喜羊羊,存档,0.09
测绘,天文,0.07
星球,陆游,0.09
协同,文学,0.04
持之以恒,水星,0.07
刀剑神域,刀剑神域,0.93
心疼,大雪,0.1
铁公鸡,锦上添花,0.06
打野,害怕,0.05
社火,社火,0.9
感动,地球,0.04
盘腿,茶园,0.06
卧薪尝胆,订票,0.04
狗尾续貂,酸辣粉,0.03
招聘,做作业,0.05
谷雨,震撼,0.08
秃子头上,秃子头上,0.94
掉落,杯水车薪,0.09
魔女宅急便,真空,0.04
山谷,整理,0.06
星球,自检,0.06
瞎子摸象,瞎子摸象,0.95
诸葛亮,挟天子,0.05
嫉妒,指鹿为马,0.02
招聘,抄写,0.06
程门立雪,行李,0.06
花鼓,麒麟,0.08
踮脚,小葱拌豆腐,0.09
养宠,兴奋,0.05
秧歌,同舟共济,0.07
韩信,晚霞,0.07
井底之蛙,井底之蛙,0.97
夜色,对齐,0.1
立冬,隐狼,0.08
羡慕,惬意,0.07
迈步,迈步,0.97
秧歌,纸里包火,0.08
读档,嫦娥,0.1
刀剑神域,陈奕迅,0.05
拿鸡毛,紧张,0.09
骑士,惋惜,0.09
炸鸡,望梅止渴,0.03
连麦,潜狼,0.08
俯卧,自检,0.08
感恩,彗星,0.05
数学,数学,0.93
铃芽之旅,银河,0.05
鬼灭之刃,鬼灭之刃,0.92
望梅止渴,望梅止渴,0.99
谭维维,冬至,0.06
大公无私,大公无私,0.98
八面玲珑,龙珠,0.03
落座,落座,0.98
查阅,麻花,0.05
溪流,打卡,0.05
