text_a,text_b,score
失落,杜甫,0.09
春分,郁闷,0.09
玄德,刘备,0.88
诗圣,杜甫,0.88
诸葛亮,孔明,0.9
樱花,视角,0.09
刘备,玄德,0.88
踢踏,纸里包火,0.07
诸葛亮,猫咪,0.05
敬佩,金星,0.06
疲惫,热切,0.07
秦时明月,秦时明月,0.98
新手,孤独,0.05
猫咪,狗,0.1
茶壶里煮饺,茶壶里煮饺,0.91
夜色,对齐,0.1
玄德,刘备,0.88
幽游白书,泥菩萨过,0.03
孔明,诸葛亮,0.9
进击的巨人,追剧,0.09
审核,做饭,0.08
一人之下,一人之下,0.96
猫咪,狗,0.1
刘备,啊哈哈,0.05
腾挪,欣慰,0.1
郁闷,郁闷,0.94
狼人,代数,0.05
后羿,滥竽充数,0.04
元旦,老虎头上,0.03
卧薪尝胆,订票,0.04
演员,阿萨德,0.05
诗圣,杜甫,0.88
审核,李时珍,0.06
蜻蜓点水,平静,0.07
巫师,俯身,0.1
前进,守株待兔,0.06
刘备,玄德,0.88
诸葛亮,晒衣,0.03
猫咪,狗,0.1
社会,妖精尾巴,0.05
演员,阿萨德,0.05
月份,陆游,0.05
地球,忐忑,0.06
魔术师,真空,0.04
猎魔人,猎魔人,0.93
孟子,落座,0.08
刮骨疗毒,关羽,0.85
满足,瞎子摸象,0.07
月份,陆游,0.05
泥塑,泥塑,0.92
猫咪,诸葛亮,0.05
自相矛盾,期待,0.06
刮骨疗毒,关羽,0.85
招聘,做作业,0.05
挑灯夜战,泡汤,0.05
猫,猫咪,0.9
升级,影子,0.06
玄德,刘备,0.88
铃芽之旅,铃芽之旅,0.94
起风了,羡慕,0.03
托运,杯水车薪,0.06
李时珍,梯田,0.09
刮骨疗毒,关羽,0.85
月份,陆游,0.05
登顶,登顶,0.97
禁言长老,烧烤,0.08
诸葛亮,猫咪,0.05
四面楚歌,银河,0.06
猫咪,诸葛亮,0.05
狐妖小红娘,狐妖小红娘,0.97
听讲,听讲,0.92
猫,猫咪,0.9
策略,郁闷,0.09
惆怅,山谷,0.06
演员,阿萨德,0.05
猫咪,猫,0.9
后来,镇魂街,0.09
听讲,销假,0.09
诗圣,杜甫,0.88
高山流水,八仙过海,0.1
辛弃疾,辛弃疾,0.96
关羽,云长,0.88
海贼王,火影,0.8
猫,猫咪,0.9
弓步,杯水车薪,0.04
走位,收拾,0.09
晒衣,纸上谈兵,0.05
阿萨德,演员,0.05
月份,陆游,0.05
赶车,范仲淹,0.06
月球,自检,0.07
月食,夜曲,0.09
阿萨德,演员,0.05
孔明,诸葛亮,0.9
猫咪,诸葛亮,0.05
陆游,月份,0.05
小满,划点,0.02
触龙说赵,上课,0.09
祖冲之,斗罗大陆,0.04
猫咪,诸葛亮,0.05
云长,关羽,0.88
名不副实,网球王子,0.07
国庆,平静,0.09
暗物质,读书,0.02
流星雨,水星,0.32
关羽,云长,0.88
拿鸡毛,点头,0.04
龙珠,生态,0.03
泥菩萨过,自相矛盾,0.1
应龙,应龙,0.96
极光,一鸣惊人,0.07
云长,关羽,0.88
按兵不动,紧张,0.03
诸葛亮,孔明,0.9
关羽,云长,0.88
海贼王,火影,0.8
狗,猫咪,0.1
理解,理解,0.92
跟进,琴棋,0.1
海贼王,火影,0.8
云长,关羽,0.88
阿萨德,演员,0.05
流星雨,流星雨,0.97
匹配,月球,0.04
猫咪,猫,0.9
诗圣,杜甫,0.88
动物,邯郸学步,0.06
地质,滥竽充数,0.05
关羽,刮骨疗毒,0.85
园艺,豆腐,0.03
演员,阿萨德,0.05
猫咪,狗,0.1
云长,关羽,0.88
晚霞,植物,0.04
刘备,啊哈哈,0.05
安心,迈步,0.07
排查,挤压,0.03
鸡犬升天,敬佩,0.03
打扫,打扫,0.98
培训,解答,0.03
刘备,玄德,0.88
猫咪,诸葛亮,0.05
云长,关羽,0.88
铁公鸡,老子,0.07
诸葛亮,孔明,0.9
诗圣,杜甫,0.88
开心,挥手,0.03
拿鸡毛,里程碑,0.04
井然有序,沙漠,0.02
盘瓠,完璧归赵,0.03
火影,海贼王,0.8
植物,心疼,0.04
茶壶里煮饺,茶壶里煮饺,0.95
拍照,班固,0.1
老虎头上,震惊,0.03
猫咪,猫,0.9
盘古,养宠,0.09
联机,交接,0.03
井水不犯,井水不犯,0.94
里程碑,冬至,0.06
天体,天体,0.92
茶园,惋惜,0.03
猫咪,狗,0.1
阿萨德,演员,0.05
刮骨疗毒,关羽,0.85
夸父,摄梦人,0.03
演员,阿萨德,0.05
新手,新手,0.9
热切,热切,0.98
诗圣,杜甫,0.88
过图,过图,0.98
推挡,推挡,0.92
轻松,不良人,0.04
晚睡,狗尾续貂,0.09
杜甫,诗圣,0.88
年画,七夕,0.09
踢踏,破釜沉舟,0.04
关羽,刮骨疗毒,0.85
八面玲珑,龙珠,0.03
星系,星系,0.98
打野,害怕,0.05
俯身,打卡,0.08
啊哈哈,刘备,0.05
拍景,通勤,0.04
猫咪,猫,0.9
关羽,云长,0.88
刘备,玄德,0.88
梦魇,日食,0.08
哑巴吃黄连,安心,0.08
林俊杰,擀面杖吹火,0.04
夜游,刑天,0.05
哪吒,猎人,0.08
搬家,月食,0.04
汇报,东京喰种,0.03
诸葛亮,孔明,0.9
刘备,玄德,0.88
立冬,狗咬吕洞宾,0.07
岳飞,云雾,0.02
批改,楹联,0.09
张学友,写作,0.05
狼王,墙头草,0.09
灯谜,负薪读书,0.08
处暑,立冬,0.03
面条,羞怯,0.03
杨千嬅,杨千嬅,0.95
啊哈哈,刘备,0.05
孔明,诸葛亮,0.9
盘瓠,八面玲珑,0.05
连麦,潜狼,0.08
礁石,日报,0.08
玄德,刘备,0.88
狗,猫咪,0.1
刘备,玄德,0.88
黑洞,拿鸡毛,0.02
刘备,玄德,0.88
关羽,云长,0.88
阿萨德,演员,0.05
战绩,影子,0.07
诗圣,杜甫,0.88
观光,酸奶,0.08
啊哈哈,刘备,0.05
熬夜,平静,0.03
诸葛亮,猫咪,0.05
懊悔,山谷,0.04
诸葛亮,猫咪,0.05
昆曲,杨千嬅,0.05
水星,水星,0.91
猪八戒照镜,秃子头上,0.05
茶道,瀑布,0.09
河伯,拍照,0.05
死神,死神,0.91
斗罗大陆,太阳系,0.1
统计,统计,0.91
嫉妒,嫉妒,0.99
下线,下线,0.97
饺子,饺子,0.97
村民,盲人摸象,0.07
关羽,刮骨疗毒,0.85
赶鸭子上架,开荒,0.03
红猪,开心,0.08
指鹿为马,排查,0.06
司马迁,释然,0.08
读档,读档,0.98
芒种,走位,0.06
孔明,诸葛亮,0.9
冷漠,水中捞月,0.06
疑惑,疑惑,0.91
泥塑,泥塑,0.96
火影,做笔记,0.05
陆游,月份,0.05
踮脚,小葱拌豆腐,0.09
狗,猫咪,0.1
抬手,计算,0.04
技能,陨石,0.04
女魃,女魃,0.91
书法,查阅,0.03
瞎子戴眼镜,许嵩,0.04
联机,海王星,0.04
总结,上课,0.07
星球,陆游,0.09
杜甫,诗圣,0.88
收拾,惆怅,0.06
孔明,诸葛亮,0.9
小幸运,统计,0.09
评书,评书,0.97
玄德,刘备,0.88
龙珠,猎人,0.06
演员,阿萨德,0.05
火影,海贼王,0.8
引力波,流星雨,0.08
月份,陆游,0.05
销假,孤独,0.05
真挚,拿鸡毛,0.06
高山流水,指鹿为马,0.08
晚睡,竹海,0.1
陆游,月份,0.05
孔明,诸葛亮,0.9
国庆,国庆,0.92
侧步,方案,0.03
井底之蛙,狗尾续貂,0.07
升级,轻松,0.08
晚睡,联机,0.07
伤心,望远镜,0.04
庙会,庙会,0.9
惬意,复活节,0.03
开荒,开荒,0.96
孔明,诸葛亮,0.9
诗圣,杜甫,0.88
编钟,露台,0.04
伸展,生态,0.06
铃芽之旅,银河,0.05
关羽,云长,0.88
孔明,诸葛亮,0.9
夜色,投标,0.03
唇亡齿寒,惬意,0.08
阿萨德,演员,0.05
猫咪,狗,0.1
臭豆腐,神农,0.05
陆游,月份,0.05
演员,阿萨德,0.05
推挡,冬至,0.05
行李,行李,0.96
阿萨德,演员,0.05
芒种,温馨,0.04
盗贼,锦上添花,0.06
猫咪,狗,0.1
破釜沉舟,破釜沉舟,0.96
战绩,伸手,0.05
自豪,刷牙,0.05
玄德,刘备,0.88
集章,集章,0.93
合成,合成,0.92
阿萨德,演员,0.05
魔术师,停下,0.06
黔驴技穷,劳动节,0.03
关羽,刮骨疗毒,0.85
滥竽充数,臭豆腐,0.07
杜甫,诗圣,0.88
前进,张良,0.03
守口如瓶,蔡依林,0.06
樱花,麻花,0.33
装修,书法,0.09
井底青蛙,秦始皇,0.06
火锅,火锅,0.98
元宵,换汇,0.05
需求,林黛玉,0.05
毛遂自荐,和尚打伞,0.04
夔牛,退避三舍,0.06
陆游,月份,0.05
大公无私,红豆,0.05
逻辑,逻辑,0.96
玄德,刘备,0.88
演员,阿萨德,0.05
言叶之庭,战绩,0.04
登楼,阎罗,0.06
司马迁,音乐,0.1
杜甫,诗圣,0.88
铁公鸡,铁公鸡,0.96
立春,疑惑,0.06
围魏救赵,围魏救赵,0.93
星游记,星游记,0.92
刮骨疗毒,关羽,0.85
诸葛亮,孔明,0.9
猫咪,诸葛亮,0.05
海贼王,火影,0.8
自检,握拳,0.06
盘瓠,老马识途,0.04
云长,关羽,0.88
讲解,摇头,0.09
纸鸢,打野,0.08
观光,记忆,0.05
关羽,刮骨疗毒,0.85
泥塑,猎魔人,0.04
纸上谈兵,掩耳盗铃,0.02
猫咪,诸葛亮,0.05
写论文,祝融,0.03
杜甫,诗圣,0.88
画地为牢,雨水,0.05
斗破苍穹,母亲节,0.03
披萨,披萨,0.94
瞎子戴眼镜,劳动节,0.08
熊出没,炸鸡,0.1
诗圣,杜甫,0.88
玄德,刘备,0.88
懊悔,小溪,0.05
卧冰求鲤,木星,0.04
星云,白狼,0.03
海贼王,火影,0.8
火影,海贼王,0.8
刘备,玄德,0.88
你的名字,庄子,0.06
失落,远程,0.03
策略,面条,0.04
刮骨疗毒,关羽,0.85
超新星,禁言长老,0.06
羡慕,羡慕,0.96
狗,猫咪,0.1
狗,猫咪,0.1
手柄,拍手,0.38
赶车,东京喰种,0.07
盘腿,炸鸡,0.06
狗,猫咪,0.1
孔明,诸葛亮,0.9
纪念品,孤寂,0.06
拍照,拍照,0.98
全职高手,杯水车薪,0.04
陆游,月份,0.05
视角,庙会,0.07
海贼王,火影,0.8
杜甫,诗圣,0.88
柳宗元,张信哲,0.08
心疼,大雪,0.1
杜甫,诗圣,0.88
听写,狼王,0.05
诸葛亮,猫咪,0.05
麻辣烫,端午,0.08
瞎子摸象,喜羊羊,0.04
黑洞,花木兰,0.03
副本,王安石,0.04
冷淡,谷雨,0.08
山谷,惊讶,0.06
海贼王,火影,0.8
诗圣,杜甫,0.88
啊哈哈,刘备,0.05
刻舟求剑,护理,0.09
刮骨疗毒,关羽,0.85
曹操,天王星,0.06
罗小黑战记,火星,0.05
岳飞,看展,0.04
依恋,依恋,0.95
月份,陆游,0.05
负荆请罪,攻略,0.07
关羽,云长,0.88
释然,首领,0.05
死神,死神,0.95
云海,蒲松龄,0.03
猫咪,狗,0.1
满足,讨论,0.03
火影,海贼王,0.8
刮骨疗毒,关羽,0.85
负荆请罪,负荆请罪,0.95
酆都,默写,0.05
猪八戒照镜,真挚,0.04
护肤,年画,0.09
红豆,月饼,0.06
杯水车薪,杯水车薪,0.98
演员,阿萨德,0.05
海岸,理解,0.07
月份,陆游,0.05
玄德,刘备,0.88
刘备,玄德,0.88
诗圣,杜甫,0.88
云长,关羽,0.88
孔明,诸葛亮,0.9
草船借箭,森林,0.08
演员,阿萨德,0.05
纸上谈兵,流星雨,0.07
水中捞月,亡羊补牢,0.02
写论文,登楼,0.06
杜甫,诗圣,0.88
刷本,新手,0.07
完璧归赵,银魂,0.1
云长,关羽,0.88
火影,海贼王,0.8
刘备,啊哈哈,0.05
画蛇添足,血月使者,0.02
掉线,取件,0.07
关羽,刮骨疗毒,0.85
狗,猫咪,0.1
猫,猫咪,0.9
轻松,弹跳,0.05
诸葛亮,猫咪,0.05
七夕,七夕,0.93
杜甫,诗圣,0.88
练习,湖泊,0.03
安心,卧薪尝胆,0.07
狗,猫咪,0.1
梯田,统计,0.06
陆游,月份,0.05
猫,猫咪,0.9
材料,跟踪,0.02
禁锢者,禁锢者,0.98
晴天,踮脚,0.07
处暑,处暑,0.95
悬崖,拍景,0.05
猫咪,诸葛亮,0.05
关羽,云长,0.88
炸鸡,望梅止渴,0.03
月份,陆游,0.05
数码宝贝,土星,0.04
对接,后来我们,0.08
瀑布,匹配,0.03
惊讶,刻舟求剑,0.08
关羽,刮骨疗毒,0.85
培训,神农,0.07
王力宏,汤圆,0.07
理财,平凡之路,0.04
杜甫,诗圣,0.88
调休,草甸,0.03
云长,关羽,0.88
预备役,漫步,0.09
演员,阿萨德,0.05
啊哈哈,刘备,0.05
孔明,诸葛亮,0.9
演员,阿萨德,0.05
法学,弯腰,0.09
言叶之庭,言叶之庭,0.92
名不副实,最美的期待,0.08
火箭,倒挂,0.1
数学,医学,0.47
失落,巫师,0.07
刮骨疗毒,关羽,0.85
杜甫,诗圣,0.88
催办,石桥,0.06
小雪,言叶之庭,0.1
租房,腾挪,0.09
祭司,重阳,0.06
满足,满足,0.98
阿萨德,演员,0.05
月份,陆游,0.05
薛之谦,交接,0.03
粽子,墙头草,0.09
老马识途,老马识途,0.91
关羽,刮骨疗毒,0.85
火影,海贼王,0.8
阿萨德,演员,0.05
转身,林俊杰,0.09
塔防,孔子,0.05
养宠,兴奋,0.05
玄女,玄女,0.9
演员,演员,0.97
诸葛亮,孔明,0.9
教育,教育,0.92
狐妖小红娘,海王星,0.1
刘备,玄德,0.88
井然有序,井然有序,0.99
代数,湖泊,0.05
诗圣,杜甫,0.88
月份,陆游,0.05
木偶,蛋挞,0.03
孔明,诸葛亮,0.9
代数,转身,0.04
孔明,诸葛亮,0.9
逻辑,羞愧,0.04
诸葛亮,猫咪,0.05
观光,观光,0.95
排球少年,守卫,0.05
孔明,诸葛亮,0.9
惬意,麒麟,0.09
猎人,上网,0.06
井底之蛙,大鱼海棠,0.07
关羽,刮骨疗毒,0.85
俯身,花灯,0.08
春分,以卵击石,0.1
预习,预习,0.95
踢踏,踢踏,0.92
灵笼,背水一战,0.08
茶道,秧歌,0.09
悬梁刺股,祖冲之,0.06
立夏,泡汤,0.05
盘古,盘腿,0.44
阿萨德,演员,0.05
海贼王,火影,0.8
一拳超人,茶道,0.04
芒种,芒种,0.96
陆游,月份,0.05
玄德,刘备,0.88
青之驱魔师,青之驱魔师,0.94
淋浴,摘记,0.03
演员,阿萨德,0.05
安心,李荣浩,0.08
伏羲,极光,0.06
诸葛亮,孔明,0.9
刮骨疗毒,手柄,0.06
晚睡,花木兰,0.05
海贼王,火影,0.8
交付,完璧归赵,0.08
狐妖小红娘,泡芙,0.07
玄德,刘备,0.88
昆曲,王安石,0.04
大公无私,大公无私,0.98
云长,关羽,0.88
刮骨疗毒,关羽,0.85
行李,行李,0.95
三顾茅庐,祝融,0.04
花田,月球,0.04
杯弓蛇影,柳宗元,0.04
远程,立冬,0.03
日出,租车,0.03
生物,依恋,0.08
安心,唇亡齿寒,0.03
海贼王,火影,0.8
盘古,张杰,0.05
叶公好龙,冰川,0.09
杜甫,诗圣,0.88
猫咪,狗,0.1
搬家,楹联,0.08
狼王,泥菩萨过,0.07
刘备,啊哈哈,0.05
气候,气候,0.92
糖葫芦,糖葫芦,0.98
起身,起身,0.98
刘德华,刘德华,0.96
超新星,麒麟,0.09
猫咪,猫,0.9
星云,匹配,0.08
沙漠,沙漠,0.93
听写,听写,0.93
无聊,演员,0.07
纸里包火,画饼充饥,0.02
订房,哆啦A梦,0.08
汇报,汇报,0.98
王安石,王安石,0.91
猫哭耗子,秃子头上,0.22
诸葛亮,猫咪,0.05
骑士,惋惜,0.09
沙盒,沙盒,0.91
读档,嫦娥,0.1
诸葛亮,孔明,0.9
刮骨疗毒,关羽,0.85
国庆,连麦,0.05
斗罗大陆,纸上谈兵,0.06
剪纸,豆花,0.02
汇总,冰淇淋,0.1
陆游,月份,0.05
猫咪,猫,0.9
合成,淋浴,0.08
倒挂,儿童节,0.04
海湾,海湾,0.94
船到桥头,船到桥头,0.93
竹竿进城,竹竿进城,0.92
诸葛亮,猫咪,0.05
火影,海贼王,0.8
猫咪,狗,0.1
攻略,蚩尤,0.09
轻松,守墓人,0.04
云长,关羽,0.88
盘腿,拍手,0.04
神农,前进,0.05
诸葛亮,孔明,0.9
演员,阿萨德,0.05
猫咪,猫,0.9
关羽,刮骨疗毒,0.85
关羽,云长,0.88
汇总,理解,0.08
转机,豆浆,0.09
啊哈哈,刘备,0.05
杯水车薪,张信哲,0.1
观光,盘腿,0.07
晚睡,粥品,0.04
石像鬼,花灯,0.1
压抑,落座,0.06
刘备,玄德,0.88
甜品,王力宏,0.04
啊哈哈,刘备,0.05
猫咪,狗,0.1
年画,复活,0.08
合成,跟踪,0.06
中秋,书法,0.06
许嵩,守株待兔,0.03
星系,愤懑,0.08
猫咪,狗,0.1
洗漱,卧薪尝胆,0.02
摇头,闯关,0.08
盲人摸象,大暑,0.05
月份,陆游,0.05
刷牙,黄鼠狼拜年,0.09
狗,猫咪,0.1
猫,猫咪,0.9
释然,满足,0.09
喜羊羊,存档,0.09
一人之下,一人之下,0.99
签证,读书,0.09
国画,红豆,0.06
月份,陆游,0.05
孔明,诸葛亮,0.9
惋惜,约法三章,0.02
刘备,啊哈哈,0.05
陆游,月份,0.05
立秋,元宵,0.08
雪中送炭,协同,0.06
取件,应龙,0.08
答辩,起风了,0.06
刘备,啊哈哈,0.05
外卖,按部就班,0.08
诸葛亮,猫咪,0.05
麒麟,一字千金,0.1
七夕,摄梦人,0.07
火影,海贼王,0.8
狗,猫咪,0.1
猫咪,狗,0.1
狐妖小红娘,烦闷,0.08
迷茫,勇气,0.04
塔防,老鼠过街,0.06
教育,白虎,0.05
孟婆,纸鸢,0.06
画饼充饥,鹤立鸡群,0.06
诸葛亮,猫咪,0.05
诗圣,杜甫,0.88
嫉妒,汉堡,0.05
土星,酆都,0.07
诸葛亮,猫咪,0.05
关羽,刮骨疗毒,0.85
瓜田李下,秦始皇,0.09
海贼王,火影,0.8
猫咪,猫,0.9
出境,读书,0.04
全职猎人,鲛人,0.19
诗圣,杜甫,0.88
园艺,测试,0.1
对齐,指鹿为马,0.03
粥品,冰淇淋,0.09
啊哈哈,刘备,0.05
刮骨疗毒,关羽,0.85
刘备,玄德,0.88
啊哈哈,刘备,0.05
林间,林间,0.95
推挡,紧张,0.06
坦诚,蜡笔小新,0.08
月份,陆游,0.05
掉线,楹联,0.06
面条,惆怅,0.05
酸奶,酸奶,0.97
周报,夜色,0.08
租车,入职,0.02
嫉妒,指鹿为马,0.02
芒种,教育,0.06
上课,上课,0.94
诗圣,杜甫,0.88
云长,关羽,0.88
护理,写论文,0.06
刺绣,望远镜,0.05
背诵,丹霞,0.06
王安石,酸奶,0.02
孔明,诸葛亮,0.9
练习,石桥,0.03
刮骨疗毒,关羽,0.85
火影,海贼王,0.8
石雕,先知,0.09
合成,隐狼,0.03
精卫,首领,0.06
民宿,民宿,0.94
诸葛亮,孔明,0.9
陆游,月份,0.05
关羽,云长,0.88
红移,转机,0.04
诗圣,杜甫,0.88
诗圣,杜甫,0.88
星球,自检,0.06
韩信,风之谷,0.08
讨论,抄写,0.03
拍景,拍景,0.96
玄女,玄女,0.97
玄德,刘备,0.88
国画,猎人,0.09
园艺,跳跃,0.08
对牛弹琴,起身,0.09
猫,猫咪,0.9
地球,地球,0.94
洗漱,查阅,0.04
程门立雪,行李,0.06
负薪读书,负薪读书,0.91
刮骨疗毒,星云,0.06
楹联,楹联,0.91
日报,日报,0.91
诸葛亮,孔明,0.9
刘备,啊哈哈,0.05
剪纸,海洋,0.06
讨论,打卡,0.09
敬佩,连麦,0.08
百发百中,羞怯,0.07
玄德,刘备,0.88
轻松,轻松,0.91
熬夜,孙燕姿,0.06
火影,海贼王,0.8
文学,文学,0.94
租房,雪峰,0.08
失落,贾宝玉,0.03
诗圣,杜甫,0.88
刘备,啊哈哈,0.05
海贼王,火影,0.8
毛遂自荐,山谷,0.04
秃子头上,秃子头上,0.94
推挡,灌篮高手,0.09
感恩,彗星,0.05
查阅,麻花,0.05
白居易,以卵击石,0.02
猪八戒照镜,雪峰,0.1
压抑,压抑,0.92
担忧,引力波,0.04
释然,朗读,0.09
欣赏,欣赏,0.93
温柔,温柔,0.94
刷本,云海,0.06
刘备,玄德,0.88
海岸,海岸,0.92
倒挂,一人之下,0.03
刘备,啊哈哈,0.05
阿萨德,演员,0.05
刘备,啊哈哈,0.05
猫咪,诸葛亮,0.05
翻滚,拍照,0.1
挑灯夜战,井底青蛙,0.1
通灵师,农学,0.09
月份,陆游,0.05
狗,猫咪,0.1
舞狮,舞狮,0.95
陆游,月份,0.05
粽子,期待,0.03
暗能量,全职猎人,0.03
挥手,挥手,0.94
刘备,啊哈哈,0.05
陆游,月份,0.05
安心,司马光,0.09
极光,薛之谦,0.05
测试,测试,0.95
排查,对牛弹琴,0.04
摄梦人,月食,0.04
陆游,月份,0.05
坦诚,龙舟,0.05
刘备,啊哈哈,0.05
猫咪,猫,0.9
吹笛者,露台,0.1
嫦娥,嫦娥,0.9
平和,评书,0.02
诸葛亮,孔明,0.9
心疼,对齐,0.03
关羽,刮骨疗毒,0.85
读档,数学,0.09
策略,讨论,0.07
茶道,安检,0.1
啊哈哈,刘备,0.05
秧歌,纸里包火,0.08
越剧,外卖,0.06
狗,猫咪,0.1
竹编,社火,0.05
教程,起床,0.09
跳跃,天王星,0.1
狗,猫咪,0.1
关羽,云长,0.88
守口如瓶,花灯,0.08
租房,租房,0.94
猫咪,猫,0.9
焦虑,黄鼠狼拜年,0.09
天空之城,日食,0.08
诗圣,杜甫,0.88
教程,演示,0.05
陆游,月份,0.05
订房,心猿意马,0.02
语文,沙漠,0.04
摇头,沙拉,0.05
装修,玄武,0.02
秦始皇,泡芙,0.1
滑行,伸展,0.09
锦上添花,划点,0.09
铃芽之旅,一鸣惊人,0.06
协同,文学,0.04
孙燕姿,孙燕姿,0.95
黑洞,翻译,0.08
机械狼,魔术师,0.09
排球少年,狼美人,0.07
弯腰,西王母,0.07
俯身,俯身,0.93
啊哈哈,刘备,0.05
负薪读书,唇亡齿寒,0.04
猫,猫咪,0.9
猫,猫咪,0.9
陆游,月份,0.05
诗圣,杜甫,0.88
抽卡,抽卡,0.93
岳飞,复习,0.08
火影,海贼王,0.8
诸葛亮,孔明,0.9
猫,猫咪,0.9
猫,猫咪,0.9
陆游,月份,0.05
海贼王,火影,0.8
失落,坐船,0.07
空间站,购物,0.03
演员,阿萨德,0.05
琴棋,冷淡,0.07
孔明,诸葛亮,0.9
秦时明月,班固,0.05
猫咪,狗,0.1
元宵,铃芽之旅,0.1
纸上谈兵,银魂,0.02
啊哈哈,刘备,0.05
居安思危,酸奶,0.02
雪峰,购物,0.09
玄德,刘备,0.88
打卡,招聘,0.09
数学,数学,0.93
漫步,漫步,0.94
归纳,告白,0.07
期待,期待,0.91
班固,入职,0.03
盲人摸象,焦虑,0.06
触龙说赵,触龙说赵,0.98
猫咪,狗,0.1
玄德,刘备,0.88
纪念品,引力波,0.09
猫,猫咪,0.9
关羽,刮骨疗毒,0.85
邓紫棋,杯弓蛇影,0.05
火影,海贼王,0.8
狗咬吕洞宾,气候,0.09
复活节,海王星,0.06
愚者,考古,0.07
咒术回战,中秋,0.09
猫咪,猫,0.9
做笔记,竹海,0.05
陆游,月份,0.05
诸葛亮,猫咪,0.05
玄德,刘备,0.88
唇亡齿寒,购物,0.08
烤鱼,视角,0.06
猫,猫咪,0.9
海贼王,火影,0.8
花鼓,花鼓,0.91
诗圣,杜甫,0.88
无奈,真挚,0.1
玄德,刘备,0.88
斗破苍穹,斗破苍穹,0.93
诗圣,杜甫,0.88
对症下药,麻雀虽小,0.07
十年,杨戬,0.1
踮脚,小笼包,0.05
自检,豆腐,0.09
跟踪,驯熊师,0.08
盗贼,盗贼,0.93
刘备,啊哈哈,0.05
猫,猫咪,0.9
兔子尾巴,黑执事,0.07
暗物质,刘德华,0.03
张衡,八面玲珑,0.06
刻舟求剑,郁闷,0.09
伸展,失落,0.08
猫咪,狗,0.1
谭维维,冬至,0.06
馒头,馒头,0.93
漫步,漫步,0.95
京剧,购物,0.05
杜甫,诗圣,0.88
大雪,释然,0.07
陆游,月份,0.05
陆游,月份,0.05
历史,盘瓠,0.08
购物,全职猎人,0.03
演员,阿萨德,0.05
杯水车薪,杯水车薪,0.92
离职,吹笛者,0.04
欣喜,越剧,0.05
豆花,祖冲之,0.07
期待,期待,0.99
刀剑神域,陈奕迅,0.05
拿鸡毛,拿鸡毛,0.92
云长,关羽,0.88
烛龙,烛龙,0.92
上网,上网,0.92
一人之下,夜曲,0.05
后羿,花灯,0.08
教育,烦闷,0.08
海贼王,火影,0.8
银魂,银魂,0.97
演员,阿萨德,0.05
白虎,白虎,0.99
冬至,交接,0.05
猪八戒照镜,压抑,0.09
周杰伦,读书,0.06
麻辣烫,麻辣烫,0.93
刘备,玄德,0.88
诸葛亮,孔明,0.9
刮骨疗毒,关羽,0.85
