id,word_a,word_b,category_a,category_b,relation_tag,expected_range,score_0_100,reason,reviewer
118,诸葛亮,庄子,人物,人物,same_category,60-70,50,二者都为人物,但关联度不高,
119,阎罗,徒步,神话,旅游,cross_category,0-40,5,二者毫无关联,
120,里程碑,管理,工作,学科,cross_category,0-40,5,二者毫无关联,
121,负薪读书,豆腐,典故,美食,cross_category,0-40,5,二者毫无关联,
122,行李,霜降,旅游,节日,cross_category,0-40,5,二者毫无关联,
123,漆器,看海,文化,旅游,cross_category,0-40,5,二者毫无关联,
124,腊八,刷牙,节日,生活,cross_category,0-40,5,二者毫无关联,
125,戏曲,首领,文化,游戏,cross_category,0-40,5,二者毫无关联,
126,唇亡齿寒,听讲,成语,学习,cross_category,0-40,5,二者毫无关联,
127,云海,木星,风景,宇宙,cross_category,0-40,5,二者毫无关联,
128,委屈,真空,感情,宇宙,cross_category,0-40,5,二者毫无关联,
129,跳跃,升级,动作,游戏,cross_category,0-40,5,二者毫无关联,
130,周杰伦,前进,歌手,动作,cross_category,0-40,5,二者毫无关联,
131,大暑,语文,节日,学科,cross_category,0-40,5,二者毫无关联,
132,拍手,蔡依林,动作,歌手,cross_category,0-40,5,二者毫无关联,
133,气候,统计,学科,学科,same_category,60-70,50,二者都为学科,但关联度不高,
134,石雕,坦诚,文化,情感,cross_category,0-40,5,二者毫无关联,
135,评书,王力宏,文化,歌手,cross_category,0-40,5,二者毫无关联,
136,护肤,挟天子,生活,典故,cross_category,0-40,5,二者毫无关联,
137,催办,刻舟求剑,工作,歇后语,cross_category,0-40,5,二者毫无关联,
138,洗衣,平凡之路,生活,歌曲,cross_category,0-40,5,二者毫无关联,
139,肉夹馍,探图,美食,游戏,cross_category,0-40,5,二者毫无关联,
140,图穷匕见,暗物质,典故,宇宙,cross_category,0-40,5,二者毫无关联,
141,月食,蛋挞,宇宙,美食,cross_category,0-40,5,二者毫无关联,
142,轨道,哑巴吃黄连,宇宙,歇后语,cross_category,0-40,5,二者毫无关联,
143,公会,望梅止渴,游戏,典故,cross_category,0-40,5,二者毫无关联,
144,猫哭耗子,未闻花名,歇后语,动漫,cross_category,0-40,5,二者毫无关联,
145,划点,测试,学习,工作,cross_category,0-40,5,二者毫无关联,
146,王菲,混血儿,歌手,狼人杀,cross_category,0-40,5,二者毫无关联,
147,黑洞,冰川,宇宙,风景,cross_category,0-40,5,二者毫无关联,
148,母亲节,同舟共济,节日,成语,cross_category,0-40,5,二者毫无关联,
149,风之谷,投笔从戎,动漫,典故,cross_category,0-40,5,二者毫无关联,
150,值机,经济,旅游,学科,cross_category,0-40,5,二者毫无关联,
151,石像鬼,刮骨疗毒,狼人杀,典故,cross_category,0-40,5,二者毫无关联,
152,命运之夜,漆器,动漫,文化,cross_category,0-40,5,二者毫无关联,
153,铁公鸡,毛不易,歇后语,歌手,cross_category,0-40,5,二者毫无关联,
154,挤压,舞狮,动作,文化,cross_category,0-40,5,二者毫无关联,
155,甜品,复习,美食,学习,cross_category,0-40,5,二者毫无关联,
156,居安思危,对症下药,典故,成语,cross_category,0-40,5,二者毫无关联,
157,范仲淹,祝融,人物,神话,cross_category,0-40,5,二者毫无关联,
158,水星,无奈,宇宙,情感,cross_category,0-40,5,二者毫无关联,
159,李白,气象,人物,学科,cross_category,0-40,5,二者毫无关联,
160,排期,弓步,工作,动作,cross_category,0-40,5,二者毫无关联,
161,草原,写作,风景,学习,cross_category,0-40,5,二者毫无关联,
162,邮轮,挟天子,旅游,典故,cross_category,0-40,5,二者毫无关联,
163,感恩,塔防,情感,游戏,cross_category,0-40,5,二者毫无关联,
164,汤圆,越剧,美食,文化,cross_category,0-40,5,二者毫无关联,
165,走位,守口如瓶,游戏,成语,cross_category,0-40,5,二者毫无关联,
166,对接,会议,工作,工作,same_category,60-70,50,二者都为工作,但关联度不高,
167,羞愧,生物,感情,学科,cross_category,0-40,5,二者毫无关联,
168,惊讶,狼狈为奸,感情,成语,cross_category,0-40,5,二者毫无关联,
169,邯郸学步,上网,典故,生活,cross_category,0-40,5,二者毫无关联,
170,井然有序,夏目友人帐,成语,动漫,cross_category,0-40,5,二者毫无关联,
171,龙舟,握拳,文化,动作,cross_category,0-40,5,二者毫无关联,
172,肉夹馍,八面玲珑,美食,成语,cross_category,0-40,5,二者毫无关联,
173,停下,秀才遇鬼,动作,歇后语,cross_category,0-40,5,二者毫无关联,
174,应龙,闯关,神话,游戏,cross_category,0-40,5,二者毫无关联,
175,李时珍,交接,人物,工作,cross_category,0-40,5,二者毫无关联,
176,黄鼠狼拜年,落座,歇后语,动作,cross_category,0-40,5,二者毫无关联,
177,瞎子戴眼镜,网购,歇后语,生活,cross_category,0-40,5,二者毫无关联,
178,推挡,做饭,动作,生活,cross_category,0-40,5,二者毫无关联,
179,值班,稻田,工作,风景,cross_category,0-40,5,二者毫无关联,
180,全职高手,海王星,动漫,宇宙,cross_category,0-40,5,二者毫无关联,
181,打卡,辛弃疾,旅游,人物,cross_category,0-40,5,二者毫无关联,
182,石桥,图穷匕见,风景,典故,cross_category,0-40,5,二者毫无关联,
183,宇宙,孟子,宇宙,人物,cross_category,0-40,5,二者毫无关联,
184,居安思危,杯水车薪,典故,歇后语,cross_category,0-40,5,二者毫无关联,
185,守口如瓶,游戏王,成语,动漫,cross_category,0-40,5,二者毫无关联,
186,暗能量,淋浴,宇宙,生活,cross_category,0-40,5,二者毫无关联,
187,心猿意马,年画,成语,文化,cross_category,0-40,5,二者毫无关联,
188,购物,自相矛盾,生活,成语,cross_category,0-40,5,二者毫无关联,
189,刘德华,养宠,歌手,生活,cross_category,0-40,5,二者毫无关联,
190,夏至,烦闷,节日,情感,cross_category,0-40,5,二者毫无关联,
191,离职,统计,工作,学科,cross_category,0-40,5,二者毫无关联,
192,画龙点睛,通风,成语,生活,cross_category,0-40,5,二者毫无关联,
193,后来我们,黔驴技穷,歌曲,典故,cross_category,0-40,5,二者毫无关联,
194,宇宙,苏轼,宇宙,人物,cross_category,0-40,5,二者毫无关联,
195,朱雀,里程碑,神话,工作,cross_category,0-40,5,二者毫无关联,
196,答辩,未闻花名,学习,动漫,cross_category,0-40,5,二者毫无关联,
197,打卡,幽游白书,旅游,动漫,cross_category,0-40,5,二者毫无关联,
198,冲茶,做笔记,生活,学习,cross_category,0-40,5,二者毫无关联,
199,评书,河伯,文化,神话,cross_category,0-40,5,二者毫无关联,
200,舞狮,流星雨,文化,宇宙,cross_category,0-40,5,二者毫无关联,
201,跳跃,豆浆,动作,美食,cross_category,0-40,5,二者毫无关联,
202,犬夜叉,教程,动漫,游戏,cross_category,0-40,5,二者毫无关联,
203,麻花,盲人摸象,美食,成语,cross_category,0-40,5,二者毫无关联,
204,鲲鹏,中秋,神话,节日,cross_category,0-40,5,二者毫无关联,
205,小暑,煎饼,节日,美食,cross_category,0-40,5,二者毫无关联,
206,读书,起床,生活,生活,same_category,60-70,50,二者都为生活,但关联度不高,
207,演示,历史,学习,学科,cross_category,0-40,5,二者毫无关联,
208,刺绣,翻译,文化,学习,cross_category,0-40,5,二者毫无关联,
209,看展,邓紫棋,旅游,歌手,cross_category,0-40,5,二者毫无关联,
210,和尚打伞,小幸运,歇后语,歌曲,cross_category,0-40,5,二者毫无关联,
211,预备役,银河,狼人杀,宇宙,cross_category,0-40,5,二者毫无关联,
212,屈原,白狼,人物,狼人杀,cross_category,0-40,5,二者毫无关联,
213,划点,秃子头上,学习,歇后语,cross_category,0-40,5,二者毫无关联,
214,惊讶,先知,感情,狼人杀,cross_category,0-40,5,二者毫无关联,
215,碑刻,白居易,文化,人物,cross_category,0-40,5,二者毫无关联,
216,全职高手,海洋,动漫,学科,cross_category,0-40,5,二者毫无关联,
217,烛龙,夔牛,神话,神话,same_category,60-70,50,二者都为神话,但关联度不高,
218,白狼王,火箭,狼人杀,宇宙,cross_category,0-40,5,二者毫无关联,
219,猎魔人,麻辣烫,狼人杀,美食,cross_category,0-40,5,二者毫无关联,
220,盘腿,预备役,动作,狼人杀,cross_category,0-40,5,二者毫无关联,
221,杯弓蛇影,打野,成语,游戏,cross_category,0-40,5,二者毫无关联,
222,真挚,贾宝玉,情感,人物,cross_category,0-40,5,二者毫无关联,
223,游戏王,白居易,动漫,人物,cross_category,0-40,5,二者毫无关联,
224,禁言长老,勇气,狼人杀,歌曲,cross_category,0-40,5,二者毫无关联,
225,翻译,烤鸭,学习,美食,cross_category,0-40,5,二者毫无关联,
226,守护神,惋惜,狼人杀,情感,cross_category,0-40,5,二者毫无关联,
227,雨水,阅读,节日,学习,cross_category,0-40,5,二者毫无关联,
228,侧步,粽子,动作,美食,cross_category,0-40,5,二者毫无关联,
229,白蛇缘起,感动,动漫,情感,cross_category,0-40,5,二者毫无关联,
230,调休,考古,工作,学科,cross_category,0-40,5,二者毫无关联,
231,名侦探柯南,悬崖,动漫,风景,cross_category,0-40,5,二者毫无关联,
232,图穷匕见,公会,典故,游戏,cross_category,0-40,5,二者毫无关联,
233,匆匆那年,淋浴,歌曲,生活,cross_category,0-40,5,二者毫无关联,
234,释怀,露台,情感,旅游,cross_category,0-40,5,二者毫无关联,
235,罗小黑战记,星座,动漫,宇宙,cross_category,0-40,5,二者毫无关联,
236,杜甫,连麦,人物,游戏,cross_category,0-40,5,二者毫无关联,
237,劳动节,凿壁借光,节日,典故,cross_category,0-40,5,二者毫无关联,
238,和尚打伞,酆都,歇后语,神话,cross_category,0-40,5,二者毫无关联,
239,欣赏,晚睡,情感,生活,cross_category,0-40,5,二者毫无关联,
240,落地,命运之夜,工作,动漫,cross_category,0-40,5,二者毫无关联,
241,鲛鱼,收拾,神话,生活,cross_category,0-40,5,二者毫无关联,
242,昆曲,千与千寻,文化,动漫,cross_category,0-40,5,二者毫无关联,
243,看展,卧薪尝胆,旅游,典故,cross_category,0-40,5,二者毫无关联,
244,连击,月饼,游戏,美食,cross_category,0-40,5,二者毫无关联,
245,瞎子摸象,炸鸡,歇后语,美食,cross_category,0-40,5,二者毫无关联,
246,蛋挞,冲茶,美食,生活,cross_category,0-40,5,二者毫无关联,
247,冲茶,果汁,生活,美食,cross_category,0-40,5,二者毫无关联,
248,喜悦,刀剑神域,情感,动漫,cross_category,0-40,5,二者毫无关联,
249,刺客伍六七,悬崖,动漫,风景,cross_category,0-40,5,二者毫无关联,
250,汉堡,旋转,美食,动作,cross_category,0-40,5,二者毫无关联,
251,心猿意马,告白气球,成语,歌曲,cross_category,0-40,5,二者毫无关联,
252,土星,木偶,宇宙,文化,cross_category,0-40,5,二者毫无关联,
253,擀面杖吹火,后退,歇后语,动作,cross_category,0-40,5,二者毫无关联,
254,神农,跳跃,神话,动作,cross_category,0-40,5,二者毫无关联,
255,读档,火影,游戏,动漫,cross_category,0-40,5,二者毫无关联,
256,做家务,整理,生活,学习,cross_category,0-40,5,二者毫无关联,
257,白居易,温馨,人物,感情,cross_category,0-40,5,二者毫无关联,
258,万圣节,鹤立鸡群,节日,成语,cross_category,0-40,5,二者毫无关联,
259,豆花,臭豆腐,美食,美食,same_category,60-70,50,二者都为美食,但关联度不高,
260,嫦娥,风之谷,神话,动漫,cross_category,0-40,5,二者毫无关联,
261,羞怯,修灯,情感,生活,cross_category,0-40,5,二者毫无关联,
262,杨戬,招聘,神话,工作,cross_category,0-40,5,二者毫无关联,
263,林间,大公无私,风景,成语,cross_category,0-40,5,二者毫无关联,
264,退避三舍,徒步,典故,旅游,cross_category,0-40,5,二者毫无关联,
265,冰川,寿司,风景,美食,cross_category,0-40,5,二者毫无关联,
266,空间站,抽卡,宇宙,游戏,cross_category,0-40,5,二者毫无关联,
267,兴奋,起床,感情,生活,cross_category,0-40,5,二者毫无关联,
268,震撼,那英,感情,歌手,cross_category,0-40,5,二者毫无关联,
269,历史,命运之夜,学科,动漫,cross_category,0-40,5,二者毫无关联,
270,自驾,踢踏,旅游,动作,cross_category,0-40,5,二者毫无关联,
271,杨千嬅,推挡,歌手,动作,cross_category,0-40,5,二者毫无关联,
272,森林,走位,风景,游戏,cross_category,0-40,5,二者毫无关联,
273,装修,惊蛰,生活,节日,cross_category,0-40,5,二者毫无关联,
274,地理,哪吒,学科,神话,cross_category,0-40,5,二者毫无关联,
275,连击,请假,游戏,工作,cross_category,0-40,5,二者毫无关联,
276,杯水车薪,管理,歇后语,学科,cross_category,0-40,5,二者毫无关联,
277,猎人,悬梁刺股,狼人杀,典故,cross_category,0-40,5,二者毫无关联,
278,精卫,震撼,神话,感情,cross_category,0-40,5,二者毫无关联,
279,和尚打伞,观光,歇后语,旅游,cross_category,0-40,5,二者毫无关联,
280,请假,范仲淹,工作,人物,cross_category,0-40,5,二者毫无关联,
281,测绘,对接,学科,工作,cross_category,0-40,5,二者毫无关联,
282,肉夹馍,犬夜叉,美食,动漫,cross_category,0-40,5,二者毫无关联,
283,黑洞,小暑,宇宙,节日,cross_category,0-40,5,二者毫无关联,
284,挑灯夜战,咒术回战,成语,动漫,cross_category,0-40,5,二者毫无关联,
285,篆书,做家务,文化,生活,cross_category,0-40,5,二者毫无关联,
286,握拳,瞎子点灯,动作,歇后语,cross_category,0-40,5,二者毫无关联,
287,居安思危,青花瓷,典故,歌曲,cross_category,0-40,5,二者毫无关联,
288,陆游,后退,人物,动作,cross_category,0-40,5,二者毫无关联,
289,百发百中,熬夜,成语,生活,cross_category,0-40,5,二者毫无关联,
290,通风,漫步,生活,旅游,cross_category,0-40,5,二者毫无关联,
291,湖畔,培训,风景,工作,cross_category,0-40,5,二者毫无关联,
292,匹配,值机,游戏,旅游,cross_category,0-40,5,二者毫无关联,
293,理解,夜曲,学习,歌曲,cross_category,0-40,5,二者毫无关联,
294,攻略,云雾,旅游,风景,cross_category,0-40,5,二者毫无关联,
295,烦闷,预言家,情感,狼人杀,cross_category,0-40,5,二者毫无关联,
296,策略,悬崖,游戏,风景,cross_category,0-40,5,二者毫无关联,
297,卧冰求鲤,程门立雪,典故,典故,same_category,60-70,50,二者都为典故,但关联度不高,
298,高山流水,订房,典故,旅游,cross_category,0-40,5,二者毫无关联,
299,打扫,张良,生活,人物,cross_category,0-40,5,二者毫无关联,
300,班固,赶车,人物,旅游,cross_category,0-40,5,二者毫无关联,
301,敬佩,交接,情感,工作,cross_category,0-40,5,二者毫无关联,
302,图穷匕见,小溪,典故,风景,cross_category,0-40,5,二者毫无关联,
303,幽游白书,画地为牢,动漫,成语,cross_category,0-40,5,二者毫无关联,
304,演员,夸父,歌曲,神话,cross_category,0-40,5,二者毫无关联,
305,感动,打野,情感,游戏,cross_category,0-40,5,二者毫无关联,
306,吹笛者,寒露,狼人杀,节日,cross_category,0-40,5,二者毫无关联,
307,晒衣,转身,生活,动作,cross_category,0-40,5,二者毫无关联,
308,三顾茅庐,茶园,典故,风景,cross_category,0-40,5,二者毫无关联,
309,法学,教程,学科,游戏,cross_category,0-40,5,二者毫无关联,
310,抄写,失落,学习,感情,cross_category,0-40,5,二者毫无关联,
311,手柄,烛龙,游戏,神话,cross_category,0-40,5,二者毫无关联,
312,烧饼,月球,美食,宇宙,cross_category,0-40,5,二者毫无关联,
313,水星,兔子尾巴,宇宙,歇后语,cross_category,0-40,5,二者毫无关联,
314,方案,天体,工作,学科,cross_category,0-40,5,二者毫无关联,
315,思念,烤鸭,情感,美食,cross_category,0-40,5,二者毫无关联,
316,搬家,物理,生活,学科,cross_category,0-40,5,二者毫无关联,
317,政治,数码宝贝,学科,动漫,cross_category,0-40,5,二者毫无关联,
318,铁杵磨针,盗贼,歇后语,狼人杀,cross_category,0-40,5,二者毫无关联,
319,编钟,张良,文化,人物,cross_category,0-40,5,二者毫无关联,
320,按兵不动,惋惜,成语,情感,cross_category,0-40,5,二者毫无关联,
321,测验,光年之外,学习,歌曲,cross_category,0-40,5,二者毫无关联,
322,敬佩,释然,情感,感情,cross_category,0-40,5,二者毫无关联,
323,转机,依恋,旅游,情感,cross_category,0-40,5,二者毫无关联,
324,加班,小行星,工作,宇宙,cross_category,0-40,5,二者毫无关联,
325,手柄,庄子,游戏,人物,cross_category,0-40,5,二者毫无关联,
326,打扫,挑灯夜战,生活,成语,cross_category,0-40,5,二者毫无关联,
327,杯弓蛇影,天体,成语,学科,cross_category,0-40,5,二者毫无关联,
328,一箭双雕,铃芽之旅,成语,动漫,cross_category,0-40,5,二者毫无关联,
329,顺水推舟,火锅,成语,美食,cross_category,0-40,5,二者毫无关联,
330,读档,红猪,游戏,动漫,cross_category,0-40,5,二者毫无关联,
331,竹海,瞎子戴眼镜,风景,歇后语,cross_category,0-40,5,二者毫无关联,
332,杯水车薪,组队,歇后语,游戏,cross_category,0-40,5,二者毫无关联,
333,驯熊师,整理,狼人杀,学习,cross_category,0-40,5,二者毫无关联,
334,灌篮高手,汇报,动漫,工作,cross_category,0-40,5,二者毫无关联,
335,画江湖,龙舟,动漫,文化,cross_category,0-40,5,二者毫无关联,
336,泡芙,方案,美食,工作,cross_category,0-40,5,二者毫无关联,
337,起身,处暑,动作,节日,cross_category,0-40,5,二者毫无关联,
338,滑行,居安思危,动作,典故,cross_category,0-40,5,二者毫无关联,
339,瀑布,觅食,风景,旅游,cross_category,0-40,5,二者毫无关联,
340,洗碗,值班,生活,工作,cross_category,0-40,5,二者毫无关联,
341,立春,祖冲之,节日,人物,cross_category,0-40,5,二者毫无关联,
342,编钟,复习,文化,学习,cross_category,0-40,5,二者毫无关联,
343,排球少年,望梅止渴,动漫,典故,cross_category,0-40,5,二者毫无关联,
344,湖泊,蒲松龄,风景,人物,cross_category,0-40,5,二者毫无关联,
345,奔跑,和尚打伞,动作,歇后语,cross_category,0-40,5,二者毫无关联,
346,王羲之,父亲节,人物,节日,cross_category,0-40,5,二者毫无关联,
347,技能,井底之蛙,游戏,歇后语,cross_category,0-40,5,二者毫无关联,
348,文学,火箭,学科,宇宙,cross_category,0-40,5,二者毫无关联,
349,晒衣,光年之外,生活,歌曲,cross_category,0-40,5,二者毫无关联,
350,居安思危,越剧,典故,文化,cross_category,0-40,5,二者毫无关联,
351,相声,斗破苍穹,文化,动漫,cross_category,0-40,5,二者毫无关联,
352,观光,写作,旅游,学习,cross_category,0-40,5,二者毫无关联,
353,晚睡,魔术师,生活,狼人杀,cross_category,0-40,5,二者毫无关联,
354,守护神,纸上谈兵,狼人杀,典故,cross_category,0-40,5,二者毫无关联,
355,滑行,观光,动作,旅游,cross_category,0-40,5,二者毫无关联,
356,韩愈,羞怯,人物,情感,cross_category,0-40,5,二者毫无关联,
357,麻花,黑执事,美食,动漫,cross_category,0-40,5,二者毫无关联,
358,做家务,排球少年,生活,动漫,cross_category,0-40,5,二者毫无关联,
