text_a,text_b,score
测验,解答,0.89
周深,越剧,0.22
冷淡,真挚,0.83
体面,告白,0.9
林俊杰,后来,0.58
国画,灯谜,0.78
海岸,小溪,0.9
山脊,免税,0.66
告白,海阔天空,0.76
哑巴吃黄连,茶壶里煮饺,0.89
井水不犯,同舟共济,0.57
李荣浩,张衡,0.25
麻雀虽小,一箭双雕,0.59
审核,后来,0.28
考试,测验,0.77
无奈,无奈,0.96
复习,背诵,0.87
卧冰求鲤,毛遂自荐,0.76
测绘,代数,0.87
瞎子戴眼镜,黄鼠狼拜年,0.88
沙拉,皮影,0.29
预备役,守夜人,0.85
烦闷,羡慕,0.74
酸辣粉,麻花,0.88
握拳,停下,0.8
机械狼,巫师,0.78
牧场,竹海,0.88
阎罗,草船借箭,0.52
转机,出境,0.77
煎饼,元旦,0.64
凿壁借光,围魏救赵,0.83
伏羲,夔牛,0.8
动物,排期,0.2
滥竽充数,自相矛盾,0.86
竹海,草甸,0.83
开荒,读档,0.8
木偶,郑和,0.48
黔驴技穷,范仲淹,0.53
气候,考古,0.87
复活,开荒,0.81
感恩,惆怅,0.79
烦躁,惆怅,0.83
雨水,立冬,0.84
俯冲,谷雨,0.15
皮肤,解谜,0.84
材料,生物,0.81
星系,外星人,0.88
咒术回战,女巫,0.26
兴奋,失落,0.83
订票,赶车,0.87
药学,周杰伦,0.13
张杰,邓紫棋,0.84
淡定,释然,0.78
疑惑,欣赏,0.76
轮岗,下线,0.8
竹竿进城,顺水推舟,0.55
韩愈,卧薪尝胆,0.59
升级,皮肤,0.88
庄子,测试,0.19
四面楚歌,陆游,0.56
鲁迅,培训,0.18
做作业,测验,0.8
上线,里程碑,0.77
雷公,居安思危,0.52
复盘,评审,0.86
烦闷,惊恐,0.91
寒露,薛之谦,0.1
三明治,寿司,0.9
观光,登机,0.76
十年,告白,0.83
告白,夜曲,0.82
画饼充饥,围魏救赵,0.54
惬意,愤怒,0.83
大禹,饕餮,0.9
挟天子,纸上谈兵,0.86
汇总,峡谷,0.17
弯腰,停下,0.79
期待,惆怅,0.85
计算,医学,0.85
阎罗,玄女,0.83
擀面杖吹火,百发百中,0.59
端午,守株待兔,0.11
星游记,铃芽之旅,0.88
小幸运,小幸运,0.98
教程,平和,0.24
中秋,立夏,0.84
森林,攻略,0.68
满足,起风了,0.18
请假,远程,0.91
林黛玉,花木兰,0.9
免税,免税,0.97
洗碗,打扫,0.79
催办,龙舟,0.09
数学,天文,0.77
李荣浩,蔡依林,0.88
负荆请罪,闻鸡起舞,0.91
需求,日报,0.89
兔子尾巴,茶壶里煮饺,0.83
张学友,林俊杰,0.82
杜甫,彩陶,0.52
历史,法学,0.83
握拳,落座,0.76
冰淇淋,订房,0.08
河伯,图穷匕见,0.5
麻雀虽小,对牛弹琴,0.54
徒步,海浪,0.69
投笔从戎,图穷匕见,0.78
管理,骑士,0.13
复盘,跟进,0.83
泥菩萨过,瞎子戴眼镜,0.88
未闻花名,犬夜叉,0.88
坐船,自驾,0.77
冰淇淋,奶茶,0.81
做作业,唇亡齿寒,0.09
民宿,免税,0.78
张学友,林俊杰,0.9
年画,掉线,0.09
鸡犬升天,圣斗士,0.16
司马光,退避三舍,0.59
洗碗,运动,0.88
政治,心理,0.81
农学,海洋,0.75
抽卡,新手,0.84
害怕,小年,0.25
云雾,梯田,0.91
十年,小幸运,0.91
登机,攻略,0.83
高山流水,负荆请罪,0.81
欣慰,孤寂,0.81
负薪读书,按部就班,0.51
山脊,沙漠,0.88
修灯,淋浴,0.75
红豆,体面,0.85
晴天,疲惫,0.28
打扫,晚睡,0.83
园艺,代数,0.83
曹操,郑和,0.89
言叶之庭,立春,0.18
瞎子戴眼镜,瞎子戴眼镜,0.97
复述,复述,0.97
露台,木偶,0.18
甜品,蛋挞,0.84
换汇,托运,0.81
退避三舍,刮骨疗毒,0.78
同舟共济,触龙说赵,0.52
皮影,张衡,0.65
盗贼,守夜人,0.84
沙拉,冰淇淋,0.84
张信哲,塔防,0.21
敬佩,心酸,0.9
驯熊师,梦魇,0.8
白泽,药学,0.25
塔防,单机,0.76
三令五申,白泽,0.63
通勤,刷牙,0.85
后来我们,立秋,0.1
依恋,感动,0.89
海浪,徒步,0.69
井底青蛙,猪八戒照镜,0.82
花木兰,杜甫,0.89
搬家,判官,0.15
欣赏,愤懑,0.75
评弹,青铜,0.85
圣斗士,天气之子,0.76
后退,握拳,0.8
杯水车薪,唇亡齿寒,0.51
震惊,开心,0.66
稻香,后来,0.78
协同,对接,0.88
拿鸡毛,瓜田李下,0.77
刮骨疗毒,借刀杀人,0.92
指鹿为马,毛遂自荐,0.89
八仙过海,猫哭耗子,0.83
盘瓠,玄武,0.9
编钟,戏曲,0.84
熊出没,一拳超人,0.89
联机,探图,0.92
麻辣烫,馒头,0.89
夏至,立春,0.82
夔牛,烛龙,0.81
擀面杖吹火,瞎子点灯,0.8
刑天,大禹,0.86
邓紫棋,那英,0.77
星球,网球王子,0.14
单机,连麦,0.82
祖冲之,投笔从戎,0.68
羞涩,惊讶,0.65
画蛇添足,鹤立鸡群,0.84
趁热打铁,一箭双雕,0.87
心猿意马,对牛弹琴,0.79
礁石,海湾,0.79
铁杵磨针,井底青蛙,0.75
外星人,月球,0.85
螺蛳粉,酸奶,0.76
排位,开荒,0.78
立冬,万圣节,0.84
护肤,冲茶,0.79
海贼王,蹒跚,0.24
云海,山脊,0.77
抬手,转身,0.76
狗咬吕洞宾,掩耳盗铃,0.59
茶道,昆曲,0.83
悬梁刺股,投笔从戎,0.89
空间站,通勤,0.23
挟天子,韩愈,0.7
井底之蛙,望梅止渴,0.89
三顾茅庐,破釜沉舟,0.9
早起,修灯,0.84
梯田,海岸,0.86
丹霞,登机,0.65
跳跃,郑和,0.1
麻花,臭豆腐,0.81
过图,你的名字,0.6
夜色,茶园,0.89
负荆请罪,黔驴技穷,0.81
屈原,李时珍,0.92
技能,技能,0.96
舞狮,花灯,0.76
朱雀,触龙说赵,0.64
女魃,麒麟,0.91
惊喜,安心,0.77
周深,体面,0.64
社火,白居易,0.45
丹霞,油菜花,0.86
轨道,火箭,0.78
完璧归赵,画蛇添足,0.59
王菲,张学友,0.83
孔子,舞狮,0.5
海岸,邓紫棋,0.12
草船借箭,背水一战,0.83
孟婆,盘瓠,0.87
花田,晚霞,0.83
跟踪,需求,0.85
阎罗,刑天,0.92
托运,邮轮,0.76
坐船,逛馆,0.78
背水一战,张良,0.61
听讲,总结,0.79
竹竿进城,黄鼠狼拜年,0.88
图穷匕见,孙悟空,0.65
刻舟求剑,对症下药,0.88
泡汤,觅食,0.79
拍景,一字千金,0.24
守口如瓶,连击,0.23
戏曲,拓印,0.75
杨戬,女魃,0.9
白泽,三令五申,0.63
相柳,酆都,0.79
海岸,看夜景,0.61
灵笼,夏目友人帐,0.75
混血儿,女巫,0.83
秃子头上,黄鼠狼拜年,0.91
母亲节,白露,0.86
冬至,立冬,0.92
凿壁借光,按部就班,0.63
评书,秦始皇,0.45
盗贼,白狼,0.76
峡谷,森林,0.79
提问,听课,0.84
评书,韩愈,0.57
劳动节,烤鸭,0.5
行李,签证,0.82
劳动节,秋分,0.8
守口如瓶,井底之蛙,0.88
赶车,潜狼,0.11
程门立雪,辛弃疾,0.67
山谷,换汇,0.56
白虎,漆器,0.1
望梅止渴,孙燕姿,0.29
阅读,划点,0.82
冷淡,愉快,0.63
许嵩,邓紫棋,0.8
范仲淹,文天祥,0.86
战绩,组队,0.77
热切,疑惑,0.86
鞠躬,腾挪,0.82
下线,入职,0.84
洗衣,洗衣,0.97
星球,小行星,0.85
丘比特,守墓人,0.79
孟子,皮影,0.59
理财,泡澡,0.8
泡汤,集章,0.85
纸鸢,竹编,0.83
心酸,忐忑,0.7
郑板桥,韩信,0.77
图穷匕见,四面楚歌,0.87
湖畔,沙漠,0.76
喜羊羊,言叶之庭,0.84
坦诚,郁闷,0.78
神农,鲲鹏,0.91
满足,烦躁,0.82
月球,水星,0.77
夜曲,十年,0.86
技能,父亲节,0.23
告白,平凡之路,0.77
理发,嫦娥,0.09
井底青蛙,演员,0.24
投笔从戎,王安石,0.62
张学友,晴天,0.67
岳飞,陆游,0.82
四面楚歌,退避三舍,0.76
晴天,立夏,0.21
年画,楹联,0.92
酸奶,海阔天空,0.26
晴天,后来我们,0.87
先知,愚者,0.87
做作业,探图,0.18
背水一战,嫦娥,0.55
洗漱,洗衣,0.78
以卵击石,叶公好龙,0.84
小葱拌豆腐,竹竿进城,0.77
复活节,小笼包,0.6
铃芽之旅,画江湖,0.83
驯熊师,白痴,0.79
祝融,盘瓠,0.88
演示,摘记,0.76
毛不易,谭维维,0.88
起床,蒲松龄,0.29
工程,管理,0.9
斗破苍穹,夏目友人帐,0.77
大雪,披萨,0.53
八面玲珑,守口如瓶,0.78
转身,腾挪,0.82
免税,山脊,0.66
烤鸭,麻辣烫,0.9
投标,入职,0.77
投笔从戎,蒲松龄,0.58
淡定,惊恐,0.65
祝融,盘古,0.87
火星,太阳系,0.81
王菲,李荣浩,0.78
牛排,粥品,0.76
冷淡,羞愧,0.69
春节,元旦,0.77
烧饼,月饼,0.88
统计,护理,0.91
银魂,协同,0.3
日报,画地为牢,0.28
伤心,失落,0.91
汇总,鸡犬升天,0.22
孟婆,负薪读书,0.55
熊出没,刀剑神域,0.79
铃芽之旅,首领,0.56
瞎子点灯,狗咬吕洞宾,0.84
井底之蛙,画地为牢,0.77
刑天,应龙,0.78
骑士,村民,0.84
豆浆,小笼包,0.8
愧疚,惊喜,0.9
默写,阅读,0.87
跟进,会议,0.81
掉落,排位,0.82
彩陶,书法,0.77
黔驴技穷,负荆请罪,0.85
命运之夜,排位,0.48
竹篮打水,猫哭耗子,0.76
装修,通话,0.79
粽子,外星人,0.16
王力宏,周深,0.86
管理,园艺,0.76
养宠,做家务,0.76
围魏救赵,凿壁借光,0.86
诸葛亮,班固,0.77
愉快,冷淡,0.63
杨千嬅,周杰伦,0.79
白蛇缘起,公会,0.59
完璧归赵,画地为牢,0.63
海岸,森林,0.79
花海,冰川,0.79
